GO.ID	Term	Annotated	Significant	Expected	Rank in elimFisher	classicFisher	elimFisher	weight01Fisher
GO:0017076	purine nucleotide binding	395	4	6.14	90	0.8904	0.8904	1.0000
GO:0017111	nucleoside-triphosphatase activity	194	3	3.02	63	0.5941	0.5941	1.0000
GO:0017171	serine hydrolase activity	44	3	0.68	7	0.0293	0.0293	1.0000
GO:0019001	guanyl nucleotide binding	60	2	0.93	28	0.2390	0.2390	1.0000
GO:0019829	cation-transporting ATPase activity	22	1	0.34	44	0.2930	0.2930	1.0000
GO:0019842	vitamin binding	57	1	0.89	64	0.5961	0.5961	1.0000
GO:0022804	active transmembrane transporter activit...	80	1	1.24	77	0.7219	0.7219	1.0000
GO:0022853	active ion transmembrane transporter act...	25	1	0.39	48	0.3259	0.3259	1.0000
GO:0022890	inorganic cation transmembrane transport...	45	2	0.7	19	0.1537	0.1537	1.0000
GO:0030247	polysaccharide binding	40	4	0.62	111	0.0030	1.0000	1.0000
GO:0030554	adenyl nucleotide binding	347	3	5.4	98	0.9266	0.9266	1.0000
GO:0032549	ribonucleoside binding	66	2	1.03	36	0.2741	0.2741	1.0000
GO:0032550	purine ribonucleoside binding	63	2	0.98	32	0.2565	0.2565	1.0000
GO:0032553	ribonucleotide binding	418	4	6.5	94	0.9163	0.9163	1.0000
GO:0032555	purine ribonucleotide binding	393	4	6.11	89	0.8879	0.8879	1.0000
GO:0032559	adenyl ribonucleotide binding	345	3	5.37	97	0.9247	0.9247	1.0000
GO:0032561	guanyl ribonucleotide binding	60	2	0.93	29	0.2390	0.2390	1.0000
GO:0034062	5'-3' RNA polymerase activity	21	1	0.33	41	0.2817	0.2817	1.0000
GO:0035639	purine ribonucleoside triphosphate bindi...	379	4	5.9	85	0.8687	0.8687	1.0000
GO:0036094	small molecule binding	543	5	8.45	102	0.9526	0.9526	1.0000
GO:0038023	signaling receptor activity	16	4	0.25	112	7.7e-05	1.0000	1.0000
GO:0042623	ATPase activity, coupled	95	1	1.48	80	0.7826	0.7826	1.0000
GO:0042625	ATPase coupled ion transmembrane transpo...	23	1	0.36	45	0.3041	0.3041	1.0000
GO:0042626	ATPase activity, coupled to transmembran...	62	1	0.96	67	0.6274	0.6274	1.0000
GO:0043167	ion binding	765	12	11.9	62	0.5534	0.5534	1.0000
GO:0043168	anion binding	495	4	7.7	105	0.9688	0.9688	1.0000
GO:0043169	cation binding	395	9	6.14	17	0.1429	0.1429	1.0000
GO:0043492	ATPase activity, coupled to movement of ...	62	1	0.96	68	0.6274	0.6274	1.0000
GO:0044769	ATPase activity, coupled to transmembran...	15	1	0.23	26	0.2102	0.2102	1.0000
GO:0046906	tetrapyrrole binding	20	1	0.31	34	0.2702	0.2702	1.0000
GO:0046914	transition metal ion binding	118	3	1.84	37	0.2769	0.2769	1.0000
