GO.ID	Term	Annotated	Significant	Expected	Rank in elimFisher	weight01Fisher	elimFisher
GO:0140096	catalytic activity, acting on a protein	127	7	6.39	54	0.806	0.461
GO:0043168	anion binding	385	22	19.37	25	0.809	0.273
GO:0000287	magnesium ion binding	61	2	3.07	117	0.826	0.826
GO:0046914	transition metal ion binding	86	6	4.33	22	0.836	0.260
GO:0004175	endopeptidase activity	36	1	1.81	118	0.848	0.848
GO:0051539	4 iron, 4 sulfur cluster binding	37	1	1.86	121	0.856	0.856
GO:0016829	lyase activity	97	3	4.88	122	0.867	0.881
GO:0016779	nucleotidyltransferase activity	55	2	2.77	111	0.888	0.778
GO:0016853	isomerase activity	56	2	2.82	112	0.909	0.786
GO:0030246	carbohydrate binding	46	1	2.31	128	0.911	0.911
GO:0003677	DNA binding	173	6	8.7	124	0.921	0.889
GO:0003674	molecular_function	1272	64	64	130	1.000	1.000
GO:0019001	guanyl nucleotide binding	49	2	2.47	106	1.000	0.719
GO:0016462	pyrophosphatase activity	149	5	7.5	123	1.000	0.889
GO:0043492	ATPase activity, coupled to movement of ...	39	2	1.96	87	1.000	0.595
GO:0044877	protein-containing complex binding	15	1	0.75	72	1.000	0.541
GO:0016775	phosphotransferase activity, nitrogenous...	22	3	1.11	5	1.000	0.095
GO:0015405	P-P-bond-hydrolysis-driven transmembrane...	43	2	2.16	96	1.000	0.649
GO:0019842	vitamin binding	42	2	2.11	94	1.000	0.636
GO:0000166	nucleotide binding	372	21	18.72	28	1.000	0.303
GO:0015399	primary active transmembrane transporter...	45	2	2.26	99	1.000	0.674
GO:0043021	ribonucleoprotein complex binding	13	1	0.65	64	1.000	0.491
GO:0017111	nucleoside-triphosphatase activity	139	5	6.99	119	1.000	0.849
GO:0032561	guanyl ribonucleotide binding	49	2	2.47	107	1.000	0.719
GO:0030554	adenyl nucleotide binding	269	15	13.53	43	1.000	0.372
GO:0140097	catalytic activity, acting on DNA	57	1	2.87	129	1.000	0.951
GO:0140098	catalytic activity, acting on RNA	90	5	4.53	59	1.000	0.479
GO:0016875	ligase activity, forming carbon-oxygen b...	27	3	1.36	9	1.000	0.151
GO:0004672	protein kinase activity	30	3	1.51	14	1.000	0.189
GO:0005198	structural molecule activity	68	3	3.42	100	1.000	0.679
GO:0032550	purine ribonucleoside binding	56	2	2.82	113	1.000	0.786
GO:1901265	nucleoside phosphate binding	372	21	18.72	29	1.000	0.303
GO:0032553	ribonucleotide binding	323	18	16.25	37	1.000	0.350
GO:0051540	metal cluster binding	69	3	3.47	102	1.000	0.689
