Operon_id	Proteins
1252993	WP_003519208.1;ADU73875.1;WP_003519210.1;ADU73874.1
1252994	WP_003519188.1;ADU73881.1;WP_003519189.1;ADU73880.1
1252995	WP_003519462.1;ADU73889.1;WP_003519463.1;ADU73888.1;WP_003519464.1;ADU73887.1
1252996	WP_003519460.1;ADU73891.1;WP_003519461.1;ADU73890.1
1252997	WP_003519804.1;ADU73896.1;ADU73895.1;WP_003521200.1;ADU73894.1
1252998	WP_003518318.1;ADU73898.1;WP_004463813.1;ADU73897.1
1252999	WP_003518307.1;ADU73904.1;WP_003518310.1;ADU73903.1;WP_003518311.1;ADU73902.1;WP_003518313.1;ADU73901.1
1253000	WP_003518303.1;ADU73906.1;WP_003518305.1;ADU73905.1
1253001	WP_003518298.1;ADU73910.1;ADU73909.1;;ADU73908.1
1253002	WP_003518291.1;ADU73913.1;WP_003518293.1;ADU73912.1;WP_003518296.1;ADU73911.1
1253003	WP_003518263.1;ADU73922.1;WP_003518265.1;ADU73921.1
1253004	WP_003521619.1;ADU73924.1;WP_003518259.1;ADU73923.1
1253005	WP_003520172.1;ADU73927.1;WP_003518248.1;ADU73926.1
1253006	WP_003518237.1;ADU73932.1;WP_003518239.1;ADU73931.1;WP_003518240.1;ADU73930.1
1253007	WP_003518220.1;ADU73940.1;WP_003520182.1;ADU73939.1
1253008	WP_003519398.1;ADU73944.1;WP_003523036.1;ADU73943.1
1253009	WP_003519393.1;ADU73947.1;ADU73946.1;WP_003519396.1;ADU73945.1
1253010	WP_003519385.1;ADU73951.1;WP_003519387.1;ADU73950.1;WP_003519389.1;ADU73949.1;WP_003519391.1;ADU73948.1
1253011	WP_003517116.1;ADU73956.1;WP_003520526.1;ADU73955.1
1253012	WP_003520530.1;ADU73967.1;WP_003517096.1;ADU73966.1;WP_003517098.1;ADU73965.1;WP_003517100.1;ADU73964.1;WP_003517102.1;ADU73963.1;WP_003517105.1;ADU73962.1;WP_003517107.1;ADU73961.1
1253013	WP_003517085.1;ADU73971.1;WP_003517087.1;ADU73970.1
1253014	WP_003517073.1;ADU73974.1;WP_003517075.1;ADU73973.1
1253015	WP_003517062.1;ADU73980.1;WP_003517064.1;ADU73979.1;WP_003517065.1;ADU73978.1;WP_003517067.1;ADU73977.1;WP_003517069.1;ADU73976.1;WP_003517071.1;ADU73975.1
1253016	WP_003517046.1;ADU73985.1;WP_003517055.1;ADU73984.1;WP_003517056.1;ADU73983.1;WP_003517058.1;ADU73982.1;WP_003517060.1;ADU73981.1
1253017	WP_003517038.1;ADU73991.1;WP_003517040.1;ADU73990.1
1253018	WP_003517023.1;ADU73998.1;WP_003517026.1;ADU73997.1
1253019	WP_003517000.1;ADU74010.1;WP_003517002.1;ADU74009.1;WP_003517004.1;ADU74008.1;WP_003517008.1;ADU74007.1;WP_003517009.1;ADU74006.1;WP_003517011.1;ADU74005.1;WP_004463712.1;ADU74004.1;WP_003517014.1;ADU74003.1;WP_003517016.1;ADU74002.1
1253020	WP_003516986.1;ADU74016.1;WP_003516988.1;ADU74015.1;WP_003516991.1;ADU74014.1
1253021	WP_080514905.1;ADU74032.1;ADU74031.1;WP_003517545.1;ADU74030.1
1253022	WP_003517527.1;ADU74039.1;WP_003520552.1;ADU74038.1
1253023	WP_003520557.1;ADU74044.1;WP_003517512.1;ADU74043.1
1253024	WP_003517503.1;ADU74051.1;WP_003517504.1;ADU74050.1;WP_003517505.1;ADU74049.1;WP_004463666.1;ADU74048.1
1253025	WP_003517495.1;ADU74059.1;WP_003517496.1;ADU74058.1
1253026	WP_003517490.1;ADU74064.1;WP_003517491.1;ADU74063.1
1253027	WP_003517447.1;ADU74081.1;WP_003517450.1;ADU74080.1;WP_003517452.1;ADU74079.1;WP_003517454.1;ADU74078.1;WP_003517455.1;ADU74077.1;WP_003517457.1;ADU74076.1
1253028	WP_003517438.1;ADU74086.1;WP_003517440.1;ADU74085.1
1253029	WP_003518900.1;ADU74099.1;WP_003518901.1;ADU74098.1
1253030	WP_003518897.1;ADU74102.1;WP_003518898.1;ADU74101.1;WP_003520198.1;ADU74100.1
1253031	WP_003518885.1;ADU74108.1;WP_003518887.1;ADU74107.1;WP_003518890.1;ADU74106.1
1253032	WP_003518879.1;ADU74111.1;WP_003518881.1;ADU74110.1
1253033	WP_003518869.1;ADU74118.1;WP_003518870.1;ADU74117.1
1253034	WP_003518863.1;ADU74122.1;WP_003518865.1;ADU74121.1;WP_003518866.1;ADU74120.1
1253035	WP_003518853.1;ADU74126.1;WP_003518855.1;ADU74125.1;WP_003518858.1;ADU74124.1
1253036	WP_003519435.1;ADU74136.1;WP_003519436.1;ADU74135.1;WP_003519437.1;ADU74134.1
1253037	WP_003519432.1;ADU74139.1;WP_003519433.1;ADU74138.1;WP_003519434.1;ADU74137.1
1253038	WP_003519429.1;ADU74142.1;WP_003519430.1;ADU74141.1;WP_003519431.1;ADU74140.1
1253039	WP_003519168.1;ADU74146.1;WP_003519170.1;ADU74145.1
1253040	WP_003521881.1;ADU74149.1;WP_003519166.1;ADU74148.1
1253041	WP_003519142.1;ADU74158.1;WP_003519144.1;ADU74157.1;ADU74156.1
1253042	WP_003519135.1;ADU74161.1;WP_003519138.1;ADU74160.1;WP_003519140.1;ADU74159.1
1253043	WP_003519126.1;ADU74166.1;WP_095522197.1;ADU74165.1
1253044	WP_003515764.1;ADU74171.1;WP_003515767.1;ADU74170.1
1253045	WP_003515752.1;ADU74177.1;WP_003515754.1;ADU74176.1;WP_003515756.1;ADU74175.1;WP_003515758.1;ADU74174.1
1253046	WP_003521255.1;ADU74179.1;WP_003515750.1;ADU74178.1
1253047	WP_003515744.1;ADU74181.1;WP_003515746.1;ADU74180.1
1253048	WP_003515715.1;ADU74194.1;WP_003515717.1;ADU74193.1;WP_003515719.1;ADU74192.1
1253049	WP_003515698.1;ADU74202.1;WP_014522613.1;ADU74201.1
1253050	WP_003515688.1;ADU74207.1;WP_003515690.1;ADU74206.1;WP_003515692.1;ADU74205.1;WP_003515694.1;ADU74204.1
1253051	WP_003515685.1;ADU74210.1;WP_003515686.1;ADU74209.1
1253052	WP_003515683.1;ADU74212.1;WP_003515684.1;ADU74211.1
1253053	WP_003515678.1;ADU74215.1;WP_003515680.1;ADU74214.1
1253054	WP_003515675.1;ADU74217.1;WP_003515677.1;ADU74216.1
1253055	WP_003515663.1;ADU74223.1;WP_003515665.1;ADU74222.1;WP_003515667.1;ADU74221.1
1253056	WP_003515653.1;ADU74227.1;WP_003515656.1;ADU74226.1;WP_003515658.1;ADU74225.1
1253057	WP_003515650.1;ADU74229.1;WP_003515651.1;ADU74228.1
1253058	WP_003515619.1;ADU74244.1;ADU74243.1
1253059	WP_003515613.1;ADU74248.1;WP_003515614.1;ADU74247.1;WP_003515616.1;ADU74246.1;WP_003515618.1;ADU74245.1
1253060	WP_003515597.1;ADU74256.1;WP_003515600.1;ADU74255.1;WP_003515602.1;ADU74254.1;WP_003515604.1;ADU74253.1
1253061	WP_003515590.1;ADU74260.1;WP_003515591.1;ADU74259.1
1253062	WP_003515577.1;ADU74268.1;WP_003515579.1;ADU74267.1
1253063	WP_003521232.1;ADU74270.1;WP_003515575.1;ADU74269.1
1253064	WP_003515559.1;ADU74277.1;WP_037295047.1;ADU74276.1;WP_003515563.1;ADU74275.1
1253065	WP_003515554.1;ADU74280.1;WP_003515555.1;ADU74279.1;WP_003515557.1;ADU74278.1
1253066	ADU74284.1;WP_003515548.1;ADU74283.1;WP_003515550.1;ADU74282.1
1253067	WP_003515531.1;ADU74293.1;WP_003515533.1;ADU74292.1;WP_003515536.1;ADU74291.1;WP_003515537.1;ADU74290.1;WP_003515540.1;ADU74289.1;WP_003515542.1;ADU74288.1;WP_003515543.1;ADU74287.1;WP_003515545.1;ADU74286.1
1253068	WP_003515523.1;ADU74297.1;WP_003515525.1;ADU74296.1;WP_003515527.1;ADU74295.1
1253069	WP_003515515.1;ADU74301.1;WP_003515517.1;ADU74300.1
1253070	WP_003515501.1;ADU74308.1;WP_003515503.1;ADU74307.1;WP_003515505.1;ADU74306.1;WP_003515507.1;ADU74305.1;WP_003515509.1;ADU74304.1;WP_003515511.1;ADU74303.1
1253071	WP_003518658.1;ADU74317.1;WP_003518660.1;ADU74316.1;WP_003518661.1;ADU74315.1
1253072	WP_003518650.1;ADU74321.1;WP_003518652.1;ADU74320.1
1253073	WP_003518637.1;ADU74328.1;WP_003518639.1;ADU74327.1;WP_003518641.1;ADU74326.1;WP_003518642.1;ADU74325.1
1253074	WP_003518626.1;ADU74333.1;WP_003520372.1;ADU74332.1;WP_003518631.1;ADU74331.1;WP_003518633.1;ADU74330.1;WP_003518635.1;ADU74329.1
1253075	WP_003518618.1;ADU74337.1;WP_003518620.1;ADU74336.1;WP_003520369.1;ADU74335.1
1253076	WP_003518614.1;ADU74339.1;WP_003518616.1;ADU74338.1
1253077	WP_003518601.1;ADU74346.1;WP_003518603.1;ADU74345.1;WP_003518605.1;ADU74344.1;WP_003518607.1;ADU74343.1;WP_011837932.1;ADU74342.1
1253078	WP_003518582.1;ADU74355.1;WP_003518584.1;ADU74354.1;WP_003520364.1;ADU74353.1
1253079	WP_014522616.1;ADU74363.1;WP_014522615.1;ADU74362.1
1253080	WP_003517280.1;ADU74367.1;WP_003517282.1;ADU74366.1
1253081	WP_003517272.1;ADU74372.1;WP_003517274.1;ADU74371.1;ADU74370.1;WP_003517276.1;ADU74369.1
1253082	WP_003517266.1;ADU74376.1;WP_003517268.1;ADU74375.1
1253083	WP_003517262.1;ADU74378.1;WP_003517264.1;ADU74377.1
1253084	WP_003517255.1;ADU74381.1;WP_003517257.1;ADU74380.1;WP_003517259.1;ADU74379.1
1253085	WP_003517243.1;ADU74387.1;WP_003520929.1;ADU74386.1;ADU74385.1
1253086	WP_003517235.1;ADU74391.1;WP_003517237.1;ADU74390.1
1253087	WP_003517230.1;ADU74394.1;WP_003517232.1;ADU74393.1
1253088	WP_003517218.1;ADU74399.1;WP_003520919.1;ADU74398.1
1253089	WP_003517200.1;ADU74411.1;WP_003520913.1;ADU74410.1;WP_003517204.1;ADU74409.1;WP_003517206.1;ADU74408.1;WP_003517208.1;ADU74407.1
1253090	WP_003517189.1;ADU74416.1;WP_003517192.1;ADU74415.1;WP_003517194.1;ADU74414.1;ADU74413.1;WP_003517198.1;ADU74412.1
1253091	WP_003517183.1;ADU74419.1;WP_003517185.1;ADU74418.1;WP_003517187.1;ADU74417.1
1253092	WP_003517165.1;ADU74425.1;WP_003517167.1;ADU74424.1
1253093	WP_003517149.1;ADU74431.1;WP_003517151.1;ADU74430.1;WP_003517153.1;ADU74429.1;WP_003517159.1;ADU74428.1
1253094	WP_003517142.1;ADU74435.1;WP_003517144.1;ADU74434.1;WP_003517145.1;ADU74433.1
1253095	WP_003518777.1;ADU74440.1;WP_003518779.1;ADU74439.1
1253096	WP_003518767.1;ADU74445.1;WP_003518769.1;ADU74444.1;WP_003518771.1;ADU74443.1;WP_003518773.1;ADU74442.1;WP_003518775.1;ADU74441.1
1253097	WP_003518759.1;ADU74449.1;WP_003518761.1;ADU74448.1
1253098	WP_003518749.1;ADU74454.1;WP_003518751.1;ADU74453.1;WP_003518753.1;ADU74452.1;WP_003518755.1;ADU74451.1;WP_003518757.1;ADU74450.1
1253099	WP_003518741.1;ADU74458.1;WP_003518743.1;ADU74457.1;WP_003518745.1;ADU74456.1;WP_003518747.1;ADU74455.1
1253100	WP_003518732.1;ADU74463.1;WP_003518734.1;ADU74462.1
1253101	WP_003518728.1;ADU74465.1;WP_003518730.1;ADU74464.1
1253102	WP_003518722.1;ADU74469.1;WP_003518724.1;ADU74468.1;WP_003518725.1;ADU74467.1
1253103	WP_003518706.1;ADU74478.1;WP_003518707.1;ADU74477.1;WP_003518709.1;ADU74476.1;WP_003518711.1;ADU74475.1;WP_003518712.1;ADU74474.1;WP_003518714.1;ADU74473.1;WP_003518716.1;ADU74472.1
