LL1210_T1_rep1	LL1210_T1_rep2	LL1210_T1_rep3	LL1210_T1_rep4	LL1210_T2_rep1	LL1210_T2_rep2	LL1210_T2_rep3	LL1210_T2_rep4	LL1210_T3_rep1	LL1210_T3_rep2	LL1210_T3_rep3	LL1210_T3_rep4	LL1210_T4_rep1	LL1210_T4_rep2	LL1210_T4_rep3	LL1210_T4_rep4
WP_003517278.1	26.6020933610792	25.7730758549369	26.1023287254183	25.9127668539813	26.5078267157955	26.5550252381345	25.7668854981355	26.1368376987663	27.6491951107797	25.9734386728846	26.2155925586877	26.0772975811069	25.3726765331423	25.6896044978213	24.6681731358276	25.1382059693786
ADU73753.1	30.1236290353659	30.0403688228616	29.8579063176863	29.8890609184173	30.3053829415567	30.4966219412241	29.8997760088323	30.0151757605069	30.2851837225125	30.0240090192267	29.9199770410911	30.008999911429	29.5800257542862	29.4421912103537	29.4735324911409	29.3929820326462
WP_003512581.1	26.5305782393976	26.3673037048311	28.0488532110298	27.7545366651339	26.0976361665167	28.1290831513595	28.5842060846546	25.3427715967531	23.7114415499605	25.1538175558835	25.333492023971	25.9435738977534	24.265315692884	26.5050931261325	25.9066123264816	24.6412361925246
WP_003513261.1	22.19492320968	24.531763503976	22.6859277171588	23.1028395003606	22.8507194452586	23.2133190953231	NA	23.3915342620059	22.6927547003333	23.8028017023407	22.6172506147514	22.5108828110369	22.8540603562649	21.9200777771208	NA	23.3270913303076
WP_004463784.1	29.0639658367297	28.7182576369613	28.7342503982075	29.2698258503341	28.5715483996624	28.5361109530785	29.038551037594	28.6467033611313	30.102408188326	29.4376370672916	29.0668572005962	29.0701351673544	29.3355505214981	29.2179268368361	29.3172767514356	29.0897776455135
WP_003517255.1	NA	NA	26.677337234047	25.6205597737945	26.3520634189647	24.0429568211994	27.0110184143073	26.1410198684981	26.092328338434	26.3854295741379	26.23998216669	26.9615693451024	NA	23.7191599966426	26.590792169693	26.1364081464754
WP_003517824.1	28.2944326357364	27.0167021433514	27.8791581800961	28.0400812432948	28.3271112407039	28.4974425663351	27.713860197887	27.8701623032754	27.0577361716685	27.9492493852676	27.7485830419566	27.9765190758589	28.0235889763748	28.1002886890407	27.8821216481977	27.1661793229789
WP_003514917.1	28.5620907806626	27.89308882684	28.2409659039658	27.6911109594759	28.8953413457414	28.8441988093065	27.9669028303884	28.1879404206213	28.4767145923767	27.7005551494555	28.3954102436251	28.638893482974	28.8881661391204	28.2641351828936	29.123364091589	28.837360622377
WP_003518187.1	21.4710335425592	21.2889175200236	22.1427913266554	21.0216302462628	22.1351188654806	21.6769878859926	21.3917813613536	21.6408688121874	21.0503698666926	20.6231003829789	20.6162315414045	21.0770709822474	21.2337665078667	21.4977152221803	NA	21.9710527525253
WP_003512577.1	27.9622140434345	28.396698528587	27.7393032033539	27.3111042335883	27.6960545118844	27.5888547741243	28.1921780034615	27.8156634081611	28.1622132459991	28.2954921882637	28.3852583390285	28.1673367799991	28.2170139434669	28.4822040380066	28.2958928839992	28.3892487305207
WP_003519665.1	23.0761935720415	21.7173412831692	21.9685824449254	21.7599806241674	21.5844399124225	21.7942261293103	21.0131641954916	NA	23.2627642874555	22.251815163541	22.3556792922321	22.4551432030407	23.623456511999	23.3107414392656	22.7301464904075	24.2280164683732
WP_003512950.1	20.5587278009578	21.0157374717053	NA	19.7108140115164	NA	20.2819908002171	21.7238498729369	NA	20.5930412462404	20.4473144516306	23.1836957257266	21.0466681140019	NA	NA	20.1943656235212	NA
WP_003521254.1	23.8760964610595	23.4869391331035	23.8156527887531	24.3299190284059	24.504581747932	23.8969094890175	23.1828186179202	24.3833654138349	23.9290604381739	23.9362007695856	23.8771872572405	24.63283394033	23.5864055736317	24.3314536748546	24.5622696861503	23.6155312834644
WP_003512952.1	21.1350397469699	24.0603339987601	23.9140430416385	23.6275920252711	23.6096988161717	23.7281173173959	22.1588454829365	23.8860365480724	19.7067832415227	21.0611364503196	24.4620426796626	21.3907625041867	NA	19.9239314963553	23.9056068351772	21.2159046863501
WP_003517648.1	26.7046348862008	28.4071064696308	27.9552850494583	28.4149708302059	28.3204604790296	28.6946306556824	28.2968600274339	28.1776472653789	28.0701058853409	28.1173811949654	28.0107093512134	28.0806113816246	27.7641449907437	27.9824543668481	27.6239278524728	27.9580198337327
WP_003513246.1	23.9886624593883	NA	20.6231003829789	20.9451789099354	21.4248921651914	20.9882564184119	21.3232944763541	21.3958635389532	23.2881088005808	21.5313536288487	21.1810364960229	21.1740856172126	23.2950286766029	21.0539194813481	20.5327689037783	20.8708799213809
WP_003514478.1	24.5999846092996	NA	24.6858002541149	22.6033329504479	NA	NA	23.6111616097639	24.0848051880309	NA	24.2549108589819	NA	NA	24.8164449822104	24.35344449009	24.1496393864312	22.1978135723215
WP_003518706.1	26.521460095597	26.2598246203614	25.7092450474165	25.8557686855094	26.0440018666956	24.9546904233809	27.1721484710536	26.9827385081855	26.1972308408284	26.3232055254386	27.0852728360397	27.5748517130105	25.6671449048681	25.6078758607122	NA	26.2462812402208
WP_003512565.1	24.3048735754148	24.181214615661	23.900782046884	24.9652265183034	23.2233903041003	23.092927146672	23.9918019361162	23.9896559932107	22.6630180499283	22.8392157989519	23.4221114139078	22.8476842876555	24.2411700269109	24.5587025611319	22.7851774547098	23.7771645096605
WP_003515445.1	28.0534692304199	29.455814038058	28.1518099230053	29.651556972435	28.313590318489	28.6730892452006	28.0642370269625	28.1584671581662	29.1737664507648	28.3952509638639	27.7833678287705	27.8179001832786	27.9331619839357	27.6083099474462	28.0944026029791	28.3016827713145
WP_003516973.1	24.2390866401922	24.4500513877879	24.1329907190283	24.2601861657293	24.508535025115	24.16016699457	23.5253652113785	23.9955637124389	24.3023463549798	23.7134554582138	24.7477108741089	24.0516558722959	23.8074222166306	23.6435814841568	23.6492360106988	23.1573336286147
ADU74051.1	27.7833946145286	28.4559578131885	28.1585319032598	28.9075442665493	28.2874193525768	28.3457174170506	28.6133126017494	28.2785393946374	27.1776531532477	27.971350592118	28.2967164652234	28.2175099737125	28.0976637005774	28.8498275475017	28.1408516180847	28.8133379517547
WP_003513987.1	21.611755868878	NA	NA	21.5221879271844	21.7705992195678	21.5481353537984	21.0780261455516	20.7492060837058	21.8814477172415	NA	22.7782234942864	21.5329714244968	21.6717074708491	22.8178069742656	21.5487667308468	21.4079204197376
WP_003515461.1	29.2914646349122	29.4805715111354	29.6079923113456	29.5053832228977	29.5653780425108	29.7191365038549	29.8803433709051	29.6163625372947	29.8444402131687	29.0103652730029	29.7717502122814	29.1455682512713	29.3670379357019	29.6551751432603	29.1813045534186	29.7993650944388
WP_003512267.1	27.1848804927061	26.0856737036791	28.1778809772087	28.11620120879	27.9425827344576	28.1808900580818	26.958436154393	28.2468265809603	27.3957180485255	27.9842232097457	27.9003552505005	26.1243132425632	27.8125813173124	27.7681201520607	27.7661633048351	28.0331462396157
WP_003515443.1	21.7319031179578	22.2604666726492	21.5499456743245	21.156840675213	21.2423769804525	24.9381258306097	20.8745073929355	22.0529426454423	21.9517215989178	21.245996161546	21.4999313220868	21.6034951888464	21.7207073383668	19.1245174973731	21.0093455674353	20.3863909961686
WP_003516971.1	26.622047347013	27.0383768815997	27.1558015815698	26.971625987994	26.8857606248502	27.1181193210244	26.838976482367	26.7594803912612	25.8376634608042	26.6286478198973	26.6095670257749	26.907903029762	25.5695639643549	26.7096549673635	26.7945344026398	25.7169084835096
WP_003517674.1	22.3581633379151	21.2142638422093	20.8510215296065	20.5412934525343	NA	NA	NA	21.938738759724	NA	NA	21.8386981564974	21.3222779360344	NA	20.7886696604971	NA	20.9071801595736
WP_003516556.1	25.7908938593686	27.3693762105843	25.0115533661125	25.2210439668516	25.7259966963725	25.5198886481622	24.3231867473445	25.6896808951679	25.5461460965084	25.5176641930074	26.0283539108153	27.3647772979891	25.5195348452714	25.2645453118425	26.2297241390984	25.0617547766288
WP_003512265.1	28.6542511637402	28.2995380002992	27.9368252122557	27.8200208537145	28.1714595819713	28.4026020603635	27.7586996253516	28.8660873478175	28.4391845005256	28.500361425171	28.3728794127527	28.1322684912913	28.4498692590087	28.6360512160199	28.7483860890476	28.8812180521857
WP_003521240.1	26.1658722986504	27.7401142848566	27.0630482746916	27.3603976799993	26.9862030640353	27.1558214300773	27.1372318677963	27.5473028511234	26.2721848062418	25.9775486041294	27.5547778667563	27.4892044840614	25.9437052445174	27.1134958952062	26.8510322803932	27.3346566848196
WP_003516977.1	NA	25.5525756593024	23.5871720789816	25.6336899457471	25.9012135996855	25.9214865164181	NA	25.7461657366793	25.705213714863	25.9395934503903	NA	25.9492115155334	NA	26.4183977500686	26.2167831920009	NA
WP_003518165.1	25.7216391953711	25.4905251883909	26.0388150968942	25.4781180008851	22.3737487068651	27.2429184912224	26.1497783813255	26.9000737490359	26.4783514832752	26.8355668608275	27.0068292652574	26.9362511744583	26.8078498249883	21.8197640609166	23.5460753599667	24.1651116457997
WP_003518681.1	22.0274157831292	22.6638413367056	22.2664840973551	22.3104817835341	22.3629682171957	22.7057605714278	21.8806638159171	22.6566819859816	NA	22.5355348134003	22.7441924525255	22.7600274269944	21.8903762895295	22.1530920909796	24.1776313696534	21.9884391886177
WP_003517341.1	25.2833509214545	25.8490087338278	24.4568664327945	26.6449370768805	25.0864044596565	25.3264468283183	25.2075899908133	24.558481979924	25.6870038231379	26.7478356874371	25.7261319570788	26.7778256538562	26.5233477465735	25.6320013074808	25.636772018069	25.7539893836891
WP_003514804.1	21.9997334986284	NA	20.9899408864596	21.2197590354814	20.6204617631792	23.7389384930258	20.9088223856238	23.5531938970477	21.9154554391598	22.8290454398053	21.9695839285976	22.3671426589285	22.0535383511952	20.4723104351639	21.4017213459708	22.3189880636575
WP_003512799.1	NA	23.3653632606144	23.718753416447	23.6457628401253	23.5430941308593	23.3954369892143	23.979422057635	23.4333741445671	24.8126757098445	23.7421070125301	23.4880017469237	23.9046591085129	23.7576587172336	23.6195713285225	24.3417862790004	24.0705859805985
WP_003513828.1	28.9308610179308	28.8973896584067	28.6832163957129	28.2784185032332	29.0211806254041	29.108664602314	28.2651245056194	28.3350263034866	28.6386570596304	28.8875942541593	29.36649788802	28.7609468482006	28.8213889611501	28.9043729831858	28.7642431972883	29.0730918098677
ADU74726.1	27.2322374341424	27.4847624491058	27.4174668628555	27.4476066483304	26.9914796620728	27.5539491653773	27.4004142867983	27.1494720097708	26.3826858359772	27.4105178236622	27.3149662118876	27.1850395318931	27.0848684591003	26.9720010827398	27.3766223257331	27.3447057296174
WP_003514291.1	26.5673331883941	26.4716749805647	25.9227475847472	24.3428638747056	25.3303016060623	25.523380084728	25.7982513842921	26.0361237800253	24.9541932351087	26.497737135642	26.6684862759997	25.6403715068324	24.9387367215457	26.1292049123962	25.0864597038007	26.2242348261403
WP_003516238.1	29.5561648082795	29.4241224906983	29.6620413724844	30.122832056899	29.9718637036902	29.8271031629659	30.2292184481571	29.4546925686189	29.7113946934639	30.09891045491	29.3875111061535	29.5014657139262	28.4785068921249	29.2510301963303	28.6641450984418	28.7621522009262
WP_003517353.1	27.1751658613387	27.2644027129977	27.1707499872057	26.9583757079463	27.9195924486119	28.4627887285406	29.0829911729986	28.1947549644095	29.0543942364161	28.5968982483086	28.7551075770772	28.4710792022721	28.3085333074119	28.9230047483571	28.6286644611633	28.0996916706971
WP_003514293.1	24.6668673122899	24.7201413986463	24.4097585101652	24.0799008141163	24.3777683373224	24.4465849121532	24.3189332843555	24.4139349551616	23.606377715791	22.612487842422	23.8159259605874	23.3994722955927	22.8947990925866	23.4324256885021	22.7012288145771	23.3444100125282
WP_003517370.1	22.5633928442492	22.0737404005416	22.9841558927663	NA	22.8415638084604	NA	23.3908407175327	22.7024475152148	21.6998037350002	24.6354006121588	23.4347982044015	23.8920938984791	21.5348192699945	23.380239340861	24.4651034999003	NA
WP_003519238.1	23.7228021976581	22.6482457128762	26.9285638130119	22.2701720782765	23.0962142839568	NA	20.8387936621431	23.1625390107503	23.4747894851402	22.3196659633459	23.1056803129373	22.9501298189112	NA	23.218778628467	27.4769411777814	26.8985704357898
WP_003518486.1	27.6171423118898	28.3484049209546	27.6785913404639	26.9206410367484	27.8651728311875	27.5117210014492	27.61876049865	28.0707276619516	27.5950031773095	27.8722118021357	27.4453786216678	27.2955665119027	27.648363118518	28.1339653702652	27.9355086425199	28.186870347035
WP_003513339.1	27.0930902656037	29.0376044615277	26.9869926449123	26.8422996491472	26.4662440885029	27.2943193231237	27.0738886607348	26.893565384517	27.135758372674	27.3734228123294	27.264971849816	27.151432264967	27.1245170250126	27.17960292897	26.9609005188672	27.5455616344293
WP_003513857.1	22.8244193895316	22.1701429426615	24.0739142577983	23.2141041956093	22.864060794637	22.377607344835	23.9691984824465	23.3307041752648	21.2884976615489	23.981490073569	22.2790967645028	23.8316278121069	21.0681163262705	19.4952797641402	20.9359261412139	21.2677373924018
WP_003511548.1	25.6223523367429	25.4690400715012	25.8968612319753	25.3994116722274	24.134075023691	20.6221077024854	25.5489587148112	25.7409258346179	23.5230260709169	24.3257258070807	21.3742398203867	24.2985215422333	25.1044161186991	NA	25.4476134972557	25.0960467856607
WP_003517008.1	28.3407045152891	26.6092749956589	27.3342595523124	27.4407449187987	26.9539040623984	28.1636724379102	27.3707598648882	27.5162617497598	27.9680258764179	27.4770417707142	27.2961215312718	27.8939964235501	27.051904749282	26.9955942351519	26.915022857317	27.2284383350522
WP_003512248.1	28.1284694661392	28.0367465622718	28.0168718360887	27.6196061642098	27.9981727750381	28.14952545475	27.9619914991446	28.0131355537592	28.0926892232653	28.1730051605724	28.0050923587967	27.8666169946427	27.858333345818	27.753139618835	27.8870162838818	27.8548512116202
WP_003518554.1	31.0986771745978	30.8097821166765	30.325618159235	30.2685605008444	29.8733819053519	30.2800314998247	30.5174577649685	30.2890562666413	30.2970409084072	30.3993623514464	30.1825892312496	30.4550698920455	30.6160960887085	30.3051733977237	30.1527426596492	30.6411975780786
ADU74165.1	23.0324550959611	NA	21.7097265102719	22.6813925870992	23.1736086504387	23.572878733373	25.9637438517478	23.2105615531018	24.3742263113853	24.7286932607288	23.2187586238967	23.3216973533915	22.6825980983764	25.6710224875252	23.1518484588784	25.3876269587363
WP_003512200.1	30.8564987375367	29.9376715823918	29.6978899403302	28.9329289640226	30.4840049791555	29.6279578892765	30.038632562485	29.6758727416731	29.7460139685169	30.9522073366103	30.5380831988915	30.9501856197905	29.8784108583552	29.724531921748	29.8724911610981	29.3729662302845
WP_003519138.1	20.9020865377591	24.234630282597	23.8604923250028	23.9901959756181	23.2480560943894	22.014532067597	22.5435104171433	22.3149539204176	26.4557165243169	23.0873204450258	22.3019762842816	23.6659859803958	24.7034097150704	24.4492976797897	24.6269464151557	23.9636919414954
WP_003520409.1	23.0530874128666	22.8208083973682	23.9362007695856	22.2139795732312	22.6983161318167	24.2333384353571	23.3766489183967	23.8918164219483	22.390355027376	22.164075924885	24.5679536440031	22.5205773569403	21.3561834319616	22.6339839871216	21.0777144128259	22.4073073252852
WP_003513333.1	26.7769370022337	24.9085157653723	27.0961878096182	27.4908506436619	26.6878937294431	26.3066189965053	26.723130672475	26.9714995660817	26.5165692049268	26.7297501482287	27.3938509500858	25.3019500255211	25.4778782595846	26.3165298961715	26.3220322819782	26.6650064522292
WP_003514705.1	25.9620687650487	26.8714272675446	25.9447007608494	26.2304297167702	26.9282730891442	25.1804206515425	26.3629395755277	26.8196726911234	25.9213007316597	25.4696037114363	26.8352363353157	25.6838040431727	26.0183367870092	26.0455964610099	26.5581556988027	25.2421884156675
WP_003513331.1	26.5863296522645	25.688874321791	26.3308031556774	26.5921619422327	26.1018718044793	26.1383062610879	26.6223374820674	25.6459588023118	25.9021112062519	25.9260219090564	26.1539511790914	26.1162243914669	26.0340245759004	25.8173132693735	25.6583380840932	26.4090751348607
WP_003515554.1	23.9328309510298	25.5435505641552	24.7773415078608	23.7162285831392	24.9303183345867	24.7746801431525	24.7353318584904	25.2076131197772	24.5694534942651	24.5760839201885	24.5186657311234	24.0185493177817	23.8871607283592	25.2725397967417	24.3001229004437	24.9241496176171
WP_003517362.1	27.4559404657492	28.0686011310539	26.5996540853272	26.3354817167115	28.4147846549465	28.2937084796317	28.4043411842574	28.3084181773621	28.8246402644275	29.0297304724898	28.8321209008782	28.6729659181483	28.6286688145983	28.9821989759048	29.1423698318649	28.5441080799553
WP_003516177.1	25.5939971350016	24.4124903040337	26.1664729838552	25.6602204449356	24.6016058043798	24.9948979166615	24.393990608362	25.1859185761022	23.499487124585	24.7967737827933	24.8465789761714	25.3998009381403	25.880530059277	24.6955388578178	25.7884026457979	25.671772601964
WP_003515979.1	24.4210586371275	NA	23.7636718871976	23.2590109671828	23.7396456978174	NA	NA	23.602559210661	24.2706107964661	24.0464708378549	24.4037797151236	24.182089677798	23.2089231878673	NA	23.6566849375966	24.7243931468783
WP_003513683.1	28.1335884616607	28.3866203344596	28.1884219362475	28.3870317712598	27.6506045439578	27.9285852983663	28.8146302872274	28.3571649681659	26.8474516813589	27.6495150188954	28.2767570094891	27.4662355229878	28.3868468006108	28.0049374914212	27.6892752970808	27.9820667357414
WP_003516175.1	28.7032096232996	29.0095698643873	28.9673839974077	28.8271986102365	28.2529796784258	28.3512022305803	28.5782135943974	28.6679475112309	28.7339515613872	28.8633176962854	28.22875368794	28.2831748435361	29.2481562112169	28.7173004243733	28.505127624415	29.1705676632501
WP_003518455.1	27.6843578158715	28.0846228250081	27.9249610531207	26.9672404181064	28.2663914863399	28.2304630931271	29.0039956698369	28.6029492141908	27.932659164427	29.1180629681426	27.8456423408366	28.3630629446828	28.0520603249895	28.9886225360095	29.4483430467305	28.1811623181816
WP_003513449.1	28.5293650028205	27.9868496963057	28.5254785065912	28.526098763235	28.0836749039137	28.8029919932622	28.2075807576494	29.0449719330392	28.3063264464226	28.622424428572	29.8729235723207	29.1265522807531	26.7307206124492	28.1215009431926	28.8941688448519	29.0347571404726
WP_003515915.1	26.805156499775	27.1913552822276	25.3558548478455	26.4342350026303	26.5835213396469	26.6296200633443	26.9143681621132	27.215919936255	26.5661939898248	26.4525116956003	26.7605176267257	26.5770883136068	26.6101961467907	26.8373607809905	26.6339830580095	26.4301492353474
WP_003516163.1	28.8195497002396	27.766982228013	28.1248525441818	27.8100296246599	27.3705595685821	27.3640060806963	27.2521696193906	27.5827637876606	27.9393904868969	27.724424391507	27.592192063724	28.0610132366578	27.9147427521924	27.819039496571	27.4089043769227	27.9149844011288
WP_003515542.1	27.6731346809737	27.109317835433	27.2866062654444	26.2950522594115	26.7603040108547	NA	25.9721741730072	27.3088403849565	NA	27.2091260737658	27.034016473221	25.1397528472697	25.9019400221661	25.580643974057	25.0366918897137	25.6754819962736
WP_003518738.1	25.8251410318551	25.7197649826161	25.5331167462163	25.3109964178757	25.3226219091059	25.0114240279018	26.4196617318717	24.494736746898	22.8299173290362	23.9205202701873	24.6310393256194	25.4445628022484	24.2611881197533	24.9351313796988	24.2028027157102	23.8110469706018
WP_003515569.1	25.0273356788127	25.2454753311874	24.9162883464704	25.3037172061848	25.6635437202588	23.0223477670872	24.6351087066639	23.2245138108989	26.3046315118686	25.4128275535265	25.7819406163928	25.8300416757238	23.2491596032232	22.7038469689351	24.39935188649	23.5846970753836
WP_003512162.1	19.8731704197268	18.5302597063786	18.5302597063786	19.1254059416145	20.1767054582544	18.5302597063786	NA	18.5302597063786	18.5302597063786	19.1096663616379	NA	18.5302597063786	21.0362601870365	18.5302597063786	18.5302597063786	NA
WP_003515540.1	28.2261441049774	28.0415202440144	28.8633176962854	28.3743295165019	27.8994614175471	28.200931537469	28.2918984772947	27.8394042029793	28.599137466102	28.4047161532619	28.5380090515413	28.4940633745778	28.3738299760292	28.3272145559782	28.5489716962829	28.5077528967825
WP_003515565.1	30.282777530812	30.089016805692	30.4787727492934	29.8039546499743	30.5180694807636	30.5831237863069	30.0514408553016	30.8269522983991	30.4165050940341	30.7434247316622	30.65030586932	31.0126016079942	30.0998247972546	30.524656085488	30.9539417190788	30.8733310522605
WP_003513187.1	24.9134695143785	24.5665117949951	26.1329823262362	25.6040301348954	25.9735681528805	25.9954548972236	25.7282590617992	24.7995808362176	24.861119868586	26.2543263127971	26.692328798696	25.0174071457806	27.2881982593782	26.8217698189857	25.894078390133	25.3925869431795
WP_003514670.1	28.6972935603793	27.544855840844	28.5758212781885	28.9264126820987	27.9834840116695	27.9030877947631	28.3655533042657	28.7941659871576	27.7686177948776	27.3489286689915	27.9650141223973	28.2544815816962	26.9132501397686	28.149653362485	27.8267908787716	26.722668852741
WP_003512112.1	30.5959352984316	29.7689131426131	30.0387935046043	29.6395313049872	29.9329906771974	30.1012108693687	29.5259841987855	31.0059432873758	29.4897909994074	30.3389254404181	29.3949341072175	30.1636027746242	28.9348651309164	29.7854753083417	29.5826809470041	30.0512313729312
WP_003515567.1	30.305513862578	30.6234232648101	29.9159125402187	29.9810832030656	29.6949768152045	29.7672807846957	30.1235942602468	29.855056875746	29.6914364146538	28.9894244347269	29.5595747216455	29.6242960895765	30.2476561991713	29.8247672541428	29.7186415224034	30.2832878938707
WP_003516250.1	23.6732388498989	24.6908179001846	24.4458307316997	23.8990556504141	25.0087300231251	24.2242312795788	23.2540712240247	23.9461987856106	23.4182953009838	24.0519344181577	24.5604718408104	24.6746932295119	23.600861968103	24.3842245916372	24.6212061698723	23.5471113477809
WP_003512846.1	25.5780747883245	25.6362962407297	25.4946314885768	25.8071318163782	25.3935761228974	25.0032093873857	24.9452412163837	25.6986782026757	24.2152958116679	25.180931783629	25.6678192807524	25.4947815064419	25.3648589647762	25.7900803220317	24.7023792419999	25.3309075565504
WP_003511658.1	28.9114139557654	28.38056551291	28.131044718263	28.00676053733	28.664214540665	28.5094872967317	28.1809326516619	28.5329112865502	28.833307073392	28.8818083134965	28.465126105762	28.6011877084471	29.0106831734761	28.6427977977771	28.5247119296251	28.7147033896774
WP_003516517.1	25.7719522196983	26.2326500667769	26.2827285083826	25.3960327648214	26.1918295015037	25.7951068254621	26.3798321983148	25.4278509328135	25.7456699924463	24.8976391760421	25.5900480323062	25.4817574518657	25.0949855701784	25.3171538140284	25.7271767228927	25.3150384931701
WP_003511604.1	26.993036272017	25.3806533708265	25.8729521149431	25.4554434329082	24.8768635552189	24.5469598301289	25.3087027892979	25.6937363117805	26.7793743350034	25.4979212585041	25.6751759630446	25.4303839886369	26.3325380295715	24.8203976908753	26.9429941051597	27.231834120334
WP_003520966.1	NA	26.645136777943	NA	26.5593273783296	NA	NA	25.0198860705309	NA	NA	26.3145334191304	NA	27.2930111557581	27.3055845847812	26.2788203175984	26.8878809473719	26.5527096974634
WP_003514612.1	27.1271704731321	24.4224117530605	26.5782096831541	24.6217956102438	23.4943000307059	26.516194515268	23.3565194405833	26.8636079210459	23.611922737419	23.6635045500601	23.7100122376834	23.7325087679933	26.328248679492	23.9739828735671	NA	NA
