Protein	EC
WP_003512422.1	EC:3.2.1
WP_003518803.1	EC:4.1.1.81;EC:2.6.1.9;EC:2.6.1.1
WP_003513610.1	EC:3.5.1.103;EC:3.5.1.89
WP_003516448.1	EC:6.3.4.3
WP_003512440.1	EC:2.4.1.21;EC:2.4.1.11
WP_003517272.1	EC:3.4.23
WP_003517742.1	EC:2.1.1.72;EC:3.1.21.4
WP_004463712.1	EC:2.1.1
WP_003516877.1	EC:1
WP_003515680.1	EC:4.4.1.16;EC:2.8.1.7;EC:2.6.1
WP_003517648.1	EC:3.4.24
WP_003518642.1	EC:2.4.2.9
WP_003518982.1	EC:3.4.21
WP_003512424.1	EC:3
WP_003518524.1	EC:5.2.1.8
WP_003512093.1	EC:1.5.1.20
WP_003514472.1	EC:3.2.1
WP_003517144.1	EC:4.2.1.10
WP_003519027.1	EC:3.2.1.4
WP_003517888.1	EC:6.3.5.2;EC:2
WP_003518938.1	EC:2.3.1.47
WP_003513376.1	EC:2.7.7.59
WP_003512354.1	EC:2.3.1.5
WP_003511680.1	EC:6;EC:4.1.1.81;EC:7.6.2.8
WP_003514835.1	EC:1
WP_003518903.1	EC:1.2.1.38
WP_003517018.1	EC:3;EC:1
WP_003511683.1	EC:3.1.3.73
WP_003511596.1	EC:2.4.1.109
WP_003520894.1	EC:6.3.4.15
WP_003516835.1	EC:4
WP_003512371.1	EC:3
WP_003512777.1	EC:2.4.1.187
WP_003516879.1	EC:3.2.1
WP_003515844.1	EC:2.5.1.19
ADU73379.1	EC:5.1.1.1
WP_003515381.1	EC:2
WP_003515445.1	EC:2.7.6.1
WP_003516423.1	EC:3.1.5.1
WP_003514134.1	EC:6.1.1.16
WP_003511558.1	EC:2.1.1
WP_003518536.1	EC:2.1.1.72;EC:2.1.1
WP_003517235.1	EC:3
WP_003516296.1	EC:2.6.1
WP_003514572.1	EC:2.4;EC:6.1.1
WP_003519189.1	EC:2.7.7.6
WP_003514180.1	EC:5.4.2.7;EC:3.1.3
WP_003515456.1	EC:3
WP_003519505.1	EC:3.9;EC:3.4
WP_003515461.1	EC:5;EC:2.4.2.9
WP_003512267.1	EC:2.7.7.56;EC:3.1.13
WP_003518076.1	EC:1.4.7;EC:1.4.1;EC:7.1.1.2
WP_003513364.1	EC:5.6.2.2
WP_003516971.1	EC:3.1.13
WP_003518453.1	EC:6.3.2.4
WP_003517233.1	EC:3
WP_003517674.1	EC:2.7.3
WP_003517666.1	EC:1
WP_003515678.1	EC:2.8.1;EC:2.7.7.25
WP_003513173.1	EC:3.1.3.3;EC:3.1.3.73;EC:5
WP_003516311.1	EC:3.4.21
WP_003515458.1	EC:2.7.8.13;EC:5.1.3.14
WP_003518809.1	EC:3.2.1
WP_003512875.1	EC:2.7.10.2
WP_003512265.1	EC:5.1.3.2
WP_003513366.1	EC:3.1.3.5
WP_003517374.1	EC:4;EC:2.5.1.47
WP_003516977.1	EC:4.1.1.2
WP_003518171.1	EC:3.2.1
WP_003516839.1	EC:3.2.1
WP_003517741.1	EC:1
WP_003517581.1	EC:3.2.1
WP_003520835.1	EC:2.6.1
WP_003518730.1	EC:3.6.1.3
WP_003512269.1	EC:3.2.1
WP_003512494.1	EC:5.6.2.2
WP_003518129.1	EC:2
WP_003514458.1	EC:2.5.1.48;EC:4.4.1.2;EC:4.4.1.1;EC:4.4.1.8
WP_003515696.1	EC:3.2;EC:3.5
WP_003519113.1	EC:6;EC:2.3
WP_003517633.1	EC:2.5.1.30
WP_003516637.1	EC:3.2.1
WP_003517993.1	EC:2.7.7.6;EC:4
WP_003516435.1	EC:3
WP_003517805.1	EC:3
WP_003516997.1	EC:6.3.2.5;EC:4.1.1.36
WP_003514456.1	EC:3
WP_003512755.1	EC:2.2 EC:2.2.1
WP_003516873.1	EC:3.4.24;EC:4
WP_003512797.1	EC:2
WP_003515023.1	EC:7.4.2.3 EC:7.4.2.4
WP_003513929.1	EC:4.1.2.4
WP_003512275.1	EC:2
WP_003513413.1	EC:4
WP_003513630.1	EC:2.1.1
WP_003518681.1	EC:7.2.2;EC:3.6.1.3
WP_003511598.1	EC:3.2
WP_003518003.1	EC:1.97.1.4;EC:4;EC:2
WP_003517221.1	EC:2.7.7.7
WP_003517211.1	EC:2
WP_003520981.1	EC:2.7.7;EC:3
WP_003514923.1	EC:2;EC:3
WP_003517440.1	EC:2.7.7;EC:3
WP_003514194.1	EC:3.2.1
WP_003512293.1	EC:3.6.4.12
WP_003517817.1	EC:3.5.4.30;EC:3.5.4.13
WP_080550888.1	EC:3
WP_003515945.1	EC:3
WP_003516585.1	EC:3.2.1
WP_003518614.1	EC:2.7.8.5
WP_003514814.1	EC:2.4.1.129;EC:3
WP_003518866.1	EC:3.4
WP_003516184.1	EC:6;EC:2
WP_003512099.1	EC:3.5.1.25;EC:2.1.1.33
WP_003512317.1	EC:5.3.1.9
WP_003512650.1	EC:4;EC:3.4.23
WP_003520682.1	EC:3
WP_003518272.1	EC:3.2.1.89
WP_003514198.1	EC:3.1.21
WP_003516225.1	EC:2.7.4.6
WP_003511564.1	EC:2.5.1.19;EC:2.5.1.7;EC:3.4.23
WP_003515688.1	EC:3;EC:2.3.1
WP_003520853.1	EC:3.4.21
WP_003519329.1	EC:3.4
WP_003518177.1	EC:2.4.1.20
WP_003519286.1	EC:5.6.2.2
WP_003516284.1	EC:3.6.1.3
WP_003517595.1	EC:3.2.1.4
WP_003512315.1	EC:6.1.1.20
WP_003519142.1	EC:4
WP_003518909.1	EC:2.1.1.63
WP_003515550.1	EC:1.17.7.1
WP_003517661.1	EC:2.7.6.2
ADU74726.1	EC:4.2.1.20;EC:2.1.2.9
WP_003518906.1	EC:3.6.1.3
WP_003518626.1	EC:1.3.1.14;EC:1.3.5.2
WP_003512313.1	EC:6.1.1.20
WP_003517717.1	EC:2
WP_003520721.1	EC:2.3.2
WP_003512991.1	EC:3.2.1
WP_003517619.1	EC:5.2.1.8
WP_003513282.1	EC:1.2.7
WP_003517644.1	EC:2.1.2
WP_003513674.1	EC:3.2.1;EC:2.4.1.18
WP_003512787.1	EC:4.2.1.136;EC:5.1.99.6
WP_003516249.1	EC:3.4.11
WP_003517337.1	EC:4;EC:1
WP_003514293.1	EC:2.7.7.7
WP_003517711.1	EC:2.7.3;EC:2.7.1
WP_003516360.1	EC:2.4
WP_003521553.1	EC:2.7.1
ADU75688.1	EC:3.1
WP_003517783.1	EC:1
WP_003516358.1	EC:1
WP_003518483.1	EC:3
WP_003516866.1	EC:3.2.1
WP_003517450.1	EC:2.1.2.3;EC:3.5.4.10
WP_003512126.1	EC:3.2.1.33;EC:2.4.1.25;EC:3.4.22
WP_003513423.1	EC:2.5.1.7
WP_003512674.1	EC:1
WP_003519126.1	EC:2.8.4.2
WP_003518592.1	EC:1
WP_003519132.1	EC:2.6.1.16
WP_003516592.1	EC:1.17.4.2
WP_003515026.1	EC:4.2.1.9
WP_003519332.1	EC:2.4.1
WP_003515921.1	EC:3.6.1.3;EC:7.6.2.2
WP_003512981.1	EC:5;EC:3.1.3.48
WP_003512676.1	EC:2.7.1
WP_003514192.1	EC:2.1.1.182;EC:3
WP_003517038.1	EC:6.1.1.12;EC:6.1.1.23
WP_003513339.1	EC:2.7.7.7
ADU74874.1	EC:2.7.7.6
ADU74423.1	EC:6.1.1;EC:1
WP_003516583.1	EC:3
WP_003519333.1	EC:2
WP_003519977.1	EC:2
WP_003516223.1	EC:4.1.1.50
WP_003512248.1	EC:4.3.2.1
WP_003512995.1	EC:4.1.1;EC:3
WP_003513046.1	EC:2
WP_003512246.1	EC:3
WP_003516596.1	EC:6.1.1.17
WP_003515854.1	EC:2.7.3.2
WP_003516525.1	EC:1.2
WP_003515686.1	EC:3.5.4.5
WP_003519973.1	EC:3.4
WP_003518855.1	EC:3.3.1.1
WP_003518359.1	EC:1.3.1.76;EC:4.99.1.1
WP_003517733.1	EC:3.6.1.29
WP_003514378.1	EC:3
WP_003514483.1	EC:3.1.4.11;EC:3.2.1.78
WP_003512104.1	EC:3.5.4.26;EC:1.1.1.193
WP_003516264.1	EC:2.7.8.7
WP_003512915.1	EC:2.7.7.23;EC:2.3.1.157
WP_003514705.1	EC:4.6.1.12
WP_003514324.1	EC:3.4.21
WP_003513308.1	EC:3
WP_003518887.1	EC:2.3.2.6
WP_003517069.1	EC:2.4.2.7
WP_003513387.1	EC:4;EC:2.6.1
ADU73437.1	EC:2.7.7
WP_003511642.1	EC:3.2.1.113;EC:2
WP_003517567.1	EC:3
WP_003513331.1	EC:5.6.2.2
WP_003515563.1	EC:2.7.4.22
WP_003514703.1	EC:2.7.13.3
WP_003515554.1	EC:5;EC:1.1.1.267
WP_003517362.1	EC:1.18.6.1
WP_003513419.1	EC:2.7.3
WP_003517355.1	EC:2.5.1.49;EC:4
WP_003514773.1	EC:1.8.98.1
WP_003517864.1	EC:3.2.1.17
WP_003512648.1	EC:5.4.99.18;EC:3
WP_003516915.1	EC:3.6.1.7;EC:2.1.3
WP_003515979.1	EC:3
WP_003513837.1	EC:3
WP_003518714.1	EC:2.7.3
WP_003517739.1	EC:2.3.1.5
WP_003520963.1	EC:1.2.7.8
WP_003517343.1	EC:2.4.2.1
WP_003519337.1	EC:6.1.1.9
WP_003516214.1	EC:2.3;EC:2.7.4.14
WP_003513691.1	EC:2.7.7.9
WP_003521232.1	EC:2.1.1
WP_003515277.1	EC:2.7.3
WP_003517773.1	EC:7.2.2;EC:3.6.1.3
WP_003518481.1	EC:3
WP_003518002.1	EC:4;EC:2.3.1.54
WP_003518160.1	EC:3.4
WP_003517452.1	EC:2.1.2.2;EC:3.5.1.10
WP_003518633.1	EC:6.3.5.5
WP_003517725.1	EC:2.1.1
WP_003513811.1	EC:3
WP_003517398.1	EC:6.1.1.23;EC:6.1.1.12
WP_003518357.1	EC:2.7.7.4;EC:2.7.1
WP_003512240.1	EC:3.1.4;EC:3.1.6;EC:2
WP_003519437.1	EC:3.6.1.3
WP_003518937.1	EC:6.3.3.3;EC:2.1.1;EC:2.6.1
WP_003518000.1	EC:3.1.4.37
WP_003512259.1	EC:1.17.99.6;EC:2.7.8.13;EC:3
WP_003515915.1	EC:2.7.2.11
WP_003514320.1	EC:3
WP_003516163.1	EC:6.1.1.2
WP_003518722.1	EC:3.4.24
WP_003511780.1	EC:3.1.4.3
WP_003516511.1	EC:3
WP_003513756.1	EC:1.4.3.21
WP_003512242.1	EC:3.2;EC:3.5
WP_003513819.1	EC:3.6.1.3
WP_003518008.1	EC:2.7.13.3
WP_003515575.1	EC:3.4
WP_003517044.1	EC:3.4.23
WP_003512257.1	EC:1
WP_003517545.1	EC:1.13;EC:6.3.3.2;EC:2.1.2
WP_003514322.1	EC:5.2.1.8;EC:1
WP_003515789.1	EC:3.4.21
WP_003512606.1	EC:5.2.1.8
WP_003512939.1	EC:3
WP_003516880.1	EC:2;EC:1
WP_003512983.1	EC:3.1.3.48
WP_003520235.1	EC:2.1.1
WP_003517434.1	EC:6.1.1.4
WP_003517368.1	EC:3.6.1.3
WP_003512106.1	EC:2.5.1.9
WP_003517877.1	EC:3
WP_003516515.1	EC:3.4.11;EC:3.2.1.4
WP_003517994.1	EC:3
WP_003513827.1	EC:2.3.1.5;EC:6.3.5.5
WP_003518885.1	EC:3.4;EC:3.6.1.3
WP_003512921.1	EC:6.3.2.8
WP_003518660.1	EC:1.17.1.8;EC:1.17.1
WP_003511602.1	EC:2
WP_003517719.1	EC:1
WP_003511666.1	EC:3.2.1
WP_003513187.1	EC:2.2.1.1
WP_003517364.1	EC:1.18.6.1
WP_003517940.1	EC:2.1.1.74;EC:1
WP_003513096.1	EC:1.8.4.8;EC:1.8.4.10
WP_003512112.1	EC:6;EC:2.5.1.9;EC:2.5.1.78
WP_003520686.1	EC:3.5.1.28
WP_003516017.1	EC:4.3.2.9
WP_003516014.1	EC:6
WP_003517366.1	EC:2.3.1.5
WP_003519168.1	EC:6.3.4.21;EC:2.4.2.19
WP_003515378.1	EC:3.6.1.3
WP_003513964.1	EC:1.11.1.15;EC:1.11.1.7
WP_003516547.1	EC:2.4.2.28
WP_003511658.1	EC:6.2.1.3
WP_003517198.1	EC:1
WP_003517412.1	EC:3.6.1.3
WP_003518631.1	EC:6.3.5.5
WP_003513910.1	EC:3.4.24
WP_003518268.1	EC:3.2
WP_003511662.1	EC:1
WP_003516517.1	EC:3.4.11
WP_003513863.1	EC:3.4.21
WP_003511604.1	EC:2.6.1.83
WP_003513825.1	EC:2.6.1.13;EC:5.4.3.8;EC:2.6.1.11;EC:2.6.1.19
WP_003516481.1	EC:2.1.1;EC:3;EC:2.6.1
WP_003519431.1	EC:3.6.1.3
WP_003517571.1	EC:3.6.1.3
WP_003516692.1	EC:3.2.1.55
WP_003511606.1	EC:4
WP_003516899.1	EC:3.4.21
WP_003513932.1	EC:1.8.1.9
WP_003511546.1	EC:3
WP_003513956.1	EC:5.4.2;EC:2.7.7
WP_003512202.1	EC:3.4
WP_003517651.1	EC:2.1.1.192
WP_003514117.1	EC:2.3.1.5;EC:3
ADU74393.1	EC:2.7.7.6
WP_003520409.1	EC:2.4.1.129;EC:3.5.2.6;EC:3.4.16.4
WP_003515548.1	EC:2.7.7.7
WP_003516497.1	EC:4;EC:1.3.8.1
WP_003511544.1	EC:3.1.2
WP_003512683.1	EC:1.1.1.244
WP_003519072.1	EC:3.2.1
WP_003517514.1	EC:2.4.1.21;EC:2.4.1.11
WP_003512164.1	EC:2.7.8.7
WP_003516659.1	EC:3.1.26.4;EC:2.5 EC:2.5.1
WP_003516161.1	EC:5.3.1.8
WP_003517153.1	EC:1.5.1.5;EC:2.7.1.71;EC:1.1.1.25 EC:1.1.1.282;EC:4.2.1.10
WP_003517107.1	EC:2.4
WP_003516143.1	EC:2.3.1.182;EC:2.3.3.13
WP_003512977.1	EC:3.5.4.12
WP_003512660.1	EC:1.4.1
WP_003516575.1	EC:2
WP_003519421.1	EC:3.6.1.3
ADU75650.1	EC:3.1
WP_003519369.1	EC:4
WP_003515577.1	EC:2.4.1.129;EC:3.5.2.6;EC:3.4.16.4
WP_003513934.1	EC:1.8.1.9
ADU74765.1	EC:2;EC:3.2.1;EC:3.5.1.28
WP_003517011.1	EC:2.7.3;EC:2.7.1
WP_003511670.1	EC:3.2.1;EC:3.4.21
WP_003512890.1	EC:4.2.1.46
WP_003515440.1	EC:1.4.3.5
WP_003516509.1	EC:3
WP_003518218.1	EC:2.7.2.4
WP_003520172.1	EC:2.7.7.72
WP_003517978.1	EC:3
WP_003513536.1	EC:6.3
WP_003513098.1	EC:3.6.3.25;EC:7.3.2.3;EC:3.6.1.3
WP_003517748.1	EC:2.1.1.297;EC:2.1.1
WP_003517891.1	EC:6.3.2.17
WP_003511963.1	EC:1.15.1.1
WP_014522596.1	EC:2.7.7;EC:3
WP_003517112.1	EC:2.7.10.2
WP_003512704.1	EC:3.2.1.91;EC:3.2.1.8;EC:3.2.1.4;EC:3.2.1.78
WP_003512919.1	EC:2.4
WP_003513195.1	EC:2.3.1.5
WP_003518311.1	EC:3.6.1.3;EC:7.2.2
WP_003516591.1	EC:2.1.1
WP_003521048.1	EC:2.7.3
WP_003512174.1	EC:5.3.1.1
WP_003513389.1	EC:2.3.1.5
WP_003517454.1	EC:6.3.3.1
WP_003517489.1	EC:2.7.1.11;EC:5.2.1.8
WP_003519204.1	EC:3.4.21
WP_003517918.1	EC:2
WP_003516032.1	EC:2.7.1.11
WP_003514788.1	EC:3.1
WP_003513467.1	EC:3.6.1.3
WP_003511534.1	EC:3.4
WP_003517023.1	EC:1.3.3.3
WP_003518511.1	EC:4
WP_003512965.1	EC:3
WP_003512898.1	EC:2.5.1.56;EC:2.5.1.57
WP_003514792.1	EC:2.7;EC:2.4.2.30
WP_003516416.1	EC:1
ADU75551.1	EC:6.3.2.4;EC:2.1.1
WP_003519074.1	EC:3.2.1
WP_003513940.1	EC:1.8.1.8
WP_003520913.1	EC:4.1.1.48
WP_003516257.1	EC:1.1.1.25 EC:1.1.1.282;EC:2.7.1.71
WP_003518940.1	EC:2.1.1.197
WP_003511862.1	EC:3.5
WP_003517493.1	EC:5.4.2
WP_003512967.1	EC:3
WP_003516561.1	EC:3
WP_003512850.1	EC:1
WP_003516452.1	EC:1
WP_003519199.1	EC:2.3.1.5
WP_003517853.1	EC:3.1.3.3
WP_003516909.1	EC:4.1.1
WP_003517064.1	EC:3
WP_003513399.1	EC:3.5;EC:2
WP_003512155.1	EC:2.3.1.41
WP_003511610.1	EC:6.3
WP_003516150.1	EC:7.2.2;EC:3.6.1.3
WP_003515837.1	EC:3.2.1
WP_003516328.1	EC:2.5.1.75
WP_003516030.1	EC:2.1.1.37
WP_003513643.1	EC:2.1.1;EC:3.5;EC:3.4.19.5
WP_003516388.1	EC:3.2.1.54;EC:3.2.1.135
WP_003518381.1	EC:3.2.1.4
WP_003521052.1	EC:2
WP_003513453.1	EC:3.1
WP_003515342.1	EC:3.2.1
WP_003516694.1	EC:3.2.1
WP_003512521.1	EC:4.1.2.17
WP_003516923.1	EC:7.1.1.2;EC:1.1.1.34;EC:1.12.7;EC:1.12.1.3;EC:1.4.1.13
WP_003512157.1	EC:6;EC:1;EC:3.1;EC:2.3.1.86;EC:2.6.1;EC:2.8.3.1
WP_003519058.1	EC:1
WP_003516259.1	EC:4.2.3.5
WP_003513132.1	EC:2.2.1.6
WP_003514437.1	EC:3.6.1.3
WP_003512888.1	EC:2.7.8.12
WP_003519439.1	EC:3
WP_003516495.1	EC:2.8.1;EC:4
WP_003512886.1	EC:6.3.2.4
WP_003513451.1	EC:3.6.1.27
WP_003515616.1	EC:6.3.5.6;EC:6.3.5.7;EC:2;EC:3
WP_003512814.1	EC:3.1.3.16
WP_003511707.1	EC:5.2.1.8
WP_003513013.1	EC:3.6.1.3
WP_003517487.1	EC:2.7.8.5
WP_003519185.1	EC:5.4.2.1
WP_003511951.1	EC:1.7.99.1
WP_003517062.1	EC:1.3.98.3
WP_003511632.1	EC:3.2
WP_003517525.1	EC:3.4.21
WP_003511616.1	EC:3.2;EC:2.7.7.7
WP_003515736.1	EC:1.5.1.5;EC:3.5.4.9
WP_003513009.1	EC:4.6.1.1
WP_003513487.1	EC:2.1.1;EC:3.1.1.61;EC:3.5.1.44
WP_003511686.1	EC:2.7.3
WP_003517114.1	EC:3
WP_003516390.1	EC:3.1.1.72;EC:3.2.1.4
WP_003514326.1	EC:3.4
WP_003516173.1	EC:6;EC:4
ADU75615.1	EC:4.1.2.4
WP_003515583.1	EC:3.6.1.3
WP_003515614.1	EC:6.3.5.7;EC:2
WP_003513025.1	EC:5.1.3.13
WP_003515275.1	EC:6.1.1.10;EC:6.1.1.6
WP_003515618.1	EC:6.3.5.6;EC:6.3.5.7;EC:2
WP_003518603.1	EC:3.1;EC:2.3.1.39
WP_003512178.1	EC:7.4.2.3 EC:7.4.2.4
WP_003516281.1	EC:2.1.3.3
WP_003519292.1	EC:3.6.1.3
WP_003519349.1	EC:3.6.1.3
WP_003513155.1	EC:5;EC:2.7.7.13;EC:1
WP_003515719.1	EC:2.4
WP_003511713.1	EC:2.7.1.107;EC:2.7.1.23
WP_003515928.1	EC:2;EC:3
WP_003513007.1	EC:1
WP_003518220.1	EC:1.1.1.3
WP_003517862.1	EC:3
WP_003512176.1	EC:3
WP_003518900.1	EC:2.1.1.45;EC:1.5.1.3
WP_003512884.1	EC:2
WP_003517873.1	EC:2.7.7.65
WP_003513153.1	EC:3.2.1
WP_003519104.1	EC:6.1.1.3;EC:3
WP_003521321.1	EC:2.3.1.5
WP_003513001.1	EC:2.7.6.3
WP_003514395.1	EC:3
WP_003517483.1	EC:3.2
WP_003513023.1	EC:2.7.7.33
WP_003516864.1	EC:3
WP_003513829.1	EC:4;EC:2.3.1.5
WP_003514898.1	EC:3.4.17
WP_003511612.1	EC:4.1.2.50
ADU75265.1	EC:2.7.7.6
ADU75174.1	EC:3.4.24
WP_003516386.1	EC:4
WP_003511717.1	EC:3.6.1.3
WP_003515791.1	EC:2.7.3
WP_003519036.1	EC:1
WP_003518180.1	EC:1
WP_003512584.1	EC:1.12.7;EC:1.12.1.3;EC:7.1.1.2
WP_003516552.1	EC:3.2.1.4
WP_003516112.1	EC:3
WP_003515480.1	EC:3
WP_003517218.1	EC:3.2.1;EC:3.2;EC:4
WP_003521649.1	EC:1.2.1;EC:1.1.1.2
WP_003513786.1	EC:3;EC:1
WP_003514580.1	EC:5.3.1.16
WP_003517073.1	EC:2;EC:6.3.5
WP_003517836.1	EC:1.11.1.15;EC:1.11.1.7
WP_003518383.1	EC:3.2.1
WP_003519304.1	EC:3.1;EC:6.2.1.20;EC:1;EC:2.6.1;EC:5.1.1.10
WP_003515853.1	EC:2.1.1
WP_003512427.1	EC:1.1.1
WP_003512019.1	EC:2
WP_003514226.1	EC:1.1.1.1
WP_003514211.1	EC:2.1.1
WP_003516363.1	EC:2.1.1.148;EC:4.2.3.4
WP_003514582.1	EC:3.5.4.19;EC:3.6.1.31
WP_003513548.1	EC:2.3
WP_003516438.1	EC:3
WP_003513130.1	EC:2.2.1.6;EC:4
WP_003518656.1	EC:1.2.1.11
WP_003516132.1	EC:2.7.7.27
WP_003512582.1	EC:1.12.1.3
WP_003511715.1	EC:1.3.1.9;EC:1.3.1.10
WP_003512050.1	EC:3.4.21
WP_003514383.1	EC:2.1.1;EC:3.1.1 EC:3.1.1.1;EC:3.2.1.4
WP_003515309.1	EC:2.1.1;EC:4.1.1.37
WP_003520287.1	EC:1
WP_003516175.1	EC:2.5.1.16
WP_003512418.1	EC:2.7.7.6
WP_003518976.1	EC:2
WP_003520544.1	EC:6.3;EC:2
WP_003513110.1	EC:4.99.1.4;EC:4.2.1.75;EC:2.1.1;EC:2.5.1.61;EC:1.3.1.76
WP_003517988.1	EC:2.7.3
WP_003512903.1	EC:2.7.7
WP_003513128.1	EC:5;EC:1.1.1.86
WP_003517504.1	EC:2.7.7.3
WP_003511681.1	EC:2.7.1.156;EC:2.7.7.62
WP_003513200.1	EC:1.1.1.25 EC:1.1.1.282;EC:2.7.1.71
WP_003515803.1	EC:3.6.1.3
WP_003513106.1	EC:4.2.1.24
WP_003513159.1	EC:6
WP_003517499.1	EC:3.2.1.55
WP_003512969.1	EC:3
WP_003517611.1	EC:6
WP_003517906.1	EC:3.4.23
WP_003514256.1	EC:3
WP_003515296.1	EC:1.2.1.58;EC:1.2.7
WP_003514577.1	EC:4.2.1.19;EC:3
WP_003518875.1	EC:4.2.1.20;EC:4.2.1.122
WP_003512022.1	EC:6.3.1.1;EC:3
WP_003517537.1	EC:2
WP_003513157.1	EC:6.1.1
WP_003513592.1	EC:2.1.1
WP_003516440.1	EC:3.4.24
WP_003518318.1	EC:3.9;EC:3.4
WP_003517353.1	EC:7.2.2
WP_003516865.1	EC:3.4
WP_003511696.1	EC:4;EC:3
WP_003515294.1	EC:2.4.1.11;EC:1
WP_003514681.1	EC:3.4.21
WP_003517500.1	EC:2.7.7.6
WP_003515625.1	EC:6.5.1.2
WP_003518521.1	EC:3.6.1.3
WP_003515721.1	EC:4.2.1.46
WP_003512586.1	EC:1.1.1.38 EC:1.1.1.39;EC:1.1.1.38 EC:1.1.1.40 EC:4.1.1.112;EC:1.1.1.40;EC:1.1.1.37;EC:4.2.1
WP_003515466.1	EC:2.7.1.33
WP_003511731.1	EC:2.4.1
WP_003515482.1	EC:3.6.1.40;EC:3.6.1.11
WP_003518709.1	EC:2.1.1;EC:3.1.1.61;EC:3.5.1.44
WP_003515952.1	EC:3.6.1.3
WP_003516028.1	EC:2.7.7.7
WP_003513780.1	EC:2.3.1.46;EC:2.3.1.31
WP_003513891.1	EC:6.3.4.2
