Protein	dC	links	p.value	q.value
WP_003512197.1	0.792886972493714	6	0.0439676966292135	0.0935874439461883
WP_003512200.1	0.887671268101266	9	0.00731039325842697	0.0389179104477612
WP_003512204.1	0.734608307461789	35	0.112598314606742	0.166857440166493
WP_003512219.1	0.753214159180844	62	0.0856039325842697	0.141415313225058
WP_003512220.1	0.630729548447717	6	0.322710674157303	0.347895533686601
WP_003512222.1	0.921275811995391	18	0.00379915730337079	0.0340251572327044
WP_003512240.1	0.588465070429839	6	0.408609550561798	0.423787327021122
WP_003512242.1	0.903305699260573	16	0.00532303370786517	0.0358018867924528
WP_003512244.1	0.835848747319325	3	0.0198314606741573	0.0601273885350319
WP_003512248.1	0.86596274317372	3	0.011313202247191	0.0471052631578947
WP_003512250.1	0.694955830369402	8	0.183679775280899	0.227641427328111
WP_003512252.1	0.914457940471514	68	0.00436095505617977	0.0350785340314136
WP_003512254.1	0.699909541168401	13	0.173904494382022	0.219547872340426
WP_003512257.1	0.695498899609643	3	0.182654494382022	0.226933797909408
WP_003512259.1	0.931247389764236	9	0.00316713483146067	0.0335555555555556
WP_003512262.1	0.762699662971839	3	0.0735393258426966	0.129124537607891
WP_003512264.1	0.742064591701483	42	0.10122191011236	0.157208287895311
WP_003512265.1	0.729602249720706	15	0.120358146067416	0.174176829268293
WP_003512267.1	0.89689195069207	9	0.00606741573033708	0.0376050420168067
WP_003512274.1	0.702546313580295	17	0.168560393258427	0.215660377358491
WP_003512284.1	1.04653549295943	3	0.000259831460674157	0.0146153846153846
WP_003512286.1	0.893477147836723	6	0.00646769662921348	0.0377459016393443
WP_003512291.1	0.739992216828565	7	0.104438202247191	0.159570815450644
WP_003512298.1	0.821405282665972	29	0.0260814606741573	0.0682600732600733
WP_003512309.1	0.873962764211218	3	0.00960674157303371	0.0434267912772586
WP_003512313.1	0.813088902891326	22	0.030372191011236	0.0738054607508533
WP_003512315.1	0.915884040126183	7	0.00426966292134831	0.0350785340314136
WP_003512317.1	0.679916732133981	87	0.214726123595506	0.252285478547855
WP_003512336.1	0.80386382834588	46	0.0360393258426966	0.082112
WP_003512350.1	0.682087309299454	16	0.210287921348315	0.249333888426311
WP_003512352.1	0.908924916145261	15	0.00478230337078652	0.0353061224489796
WP_003512354.1	0.934331925506646	2	0.00301966292134831	0.0335555555555556
WP_003512363.1	0.695369013493117	21	0.182900280898876	0.226933797909408
WP_003512370.1	0.786653853904798	8	0.049438202247191	0.1002849002849
WP_003512371.1	0.759896083604644	113	0.0767696629213483	0.132185990338164
WP_003512380.1	0.792653083549724	13	0.0441502808988764	0.0938002980625932
WP_003512382.1	0.681335587409746	5	0.21184691011236	0.249710504549214
WP_003512386.1	0.675455170023013	10	0.224297752808989	0.260179153094463
WP_003512399.1	0.670743938622506	3	0.234740168539326	0.270226354082458
WP_003512401.1	0.720563390621068	9	0.135323033707865	0.18763388510224
WP_003512405.1	0.738999422589631	28	0.105849719101124	0.160864461045891
WP_003512411.1	0.702974493958746	62	0.167724719101124	0.214977497749775
WP_003512414.1	0.741486320400785	90	0.102008426966292	0.15771986970684
WP_003512416.1	0.94869089853855	11	0.00223314606741573	0.0311650485436893
WP_003512418.1	0.954900982416678	14	0.0019873595505618	0.0297938144329897
WP_003512420.1	0.836796172049866	142	0.0195224719101124	0.0601273885350319
WP_003512422.1	0.62935234572311	7	0.325540730337079	0.349864150943396
WP_003512427.1	0.927947761316591	6	0.00341994382022472	0.0339102564102564
WP_003512440.1	0.707846264791221	3	0.158349719101124	0.206871559633028
WP_003512448.1	0.668615308987185	69	0.239424157303371	0.273370696557246
WP_003512461.1	0.896364944368221	42	0.00613061797752809	0.0376050420168067
WP_003512475.1	0.747955566644459	18	0.092563202247191	0.147740492170022
WP_003512494.1	0.698172329395224	2	0.177338483146067	0.223083038869258
WP_003512502.1	0.726482582513176	48	0.125280898876405	0.1784
WP_003512521.1	0.727578960790584	3	0.123539325842697	0.176626506024096
WP_003512523.1	0.985751200716442	6	0.00101123595505618	0.0244067796610169
WP_003512565.1	0.753226305046226	22	0.0855898876404494	0.141415313225058
WP_003512574.1	0.788261461086548	35	0.0479283707865169	0.0986271676300578
WP_003512576.1	0.490436355223483	12	0.587155898876405	0.594672830725462
WP_003512577.1	0.684470727842142	47	0.205308988764045	0.245680672268908
WP_003512581.1	0.82261826986797	35	0.0254494382022472	0.0676119402985075
WP_003512582.1	0.785240847984565	15	0.050751404494382	0.101629213483146
WP_003512583.1	0.740230774472749	31	0.104044943820225	0.159570815450644
WP_003512584.1	0.777687353308089	36	0.0575280898876405	0.11
WP_003512586.1	0.83758542843084	56	0.0192275280898876	0.0601273885350319
WP_003512590.1	0.723177111211875	9	0.130807584269663	0.183156342182891
WP_003512592.1	0.886219465778259	18	0.00748595505617978	0.0390842490842491
WP_003512596.1	0.789250613779667	44	0.0471348314606742	0.0977001455604076
WP_003512598.1	0.598429286243353	11	0.389227528089888	0.406348973607038
WP_003512606.1	0.700129989003215	55	0.173441011235955	0.219342806394316
WP_003512622.1	1.00436992593927	13	0.000702247191011236	0.0227272727272727
WP_003512623.1	0.754721001160468	26	0.0836095505617978	0.139251461988304
WP_003512626.1	0.975295862548046	77	0.00129915730337079	0.0254054054054054
WP_003512627.1	0.835086509107198	60	0.0200702247191011	0.060146750524109
WP_003512628.1	0.849519026975739	21	0.0155196629213483	0.0551122194513716
WP_003512630.1	0.707451455083869	26	0.159087078651685	0.20696803652968
WP_003512634.1	0.612943307624677	13	0.359683988764045	0.379962908011869
WP_003512636.1	0.880990150554643	16	0.00840589887640449	0.0414186851211073
WP_003512648.1	0.709144230315041	13	0.155997191011236	0.205115420129271
WP_003512650.1	0.806628635549661	6	0.0343188202247191	0.0802463054187192
WP_003512652.1	0.934409969814947	5	0.00300561797752809	0.0335555555555556
WP_003512659.1	0.899150644283733	12	0.00583567415730337	0.0372888888888889
WP_003512660.1	0.720640110182345	9	0.135189606741573	0.187631578947368
WP_003512661.1	0.609868812743147	6	0.366109550561798	0.384752767527675
WP_003512674.1	0.69962529731592	26	0.174459269662921	0.220044286979628
WP_003512676.1	0.719030062703088	60	0.137956460674157	0.189076034648701
WP_003512682.1	0.803382530908357	49	0.036439606741573	0.0827591706539075
WP_003512683.1	0.941821973046347	49	0.00256320224719101	0.0322608695652174
WP_003512687.1	0.783381235508285	12	0.0524929775280899	0.103675450762829
WP_003512688.1	0.82401875352269	31	0.0246558988764045	0.0663705103969754
WP_003512697.1	0.963524132549628	17	0.00163623595505618	0.0277380952380952
WP_003512699.1	0.661606316314171	90	0.254894662921348	0.287387173396675
WP_003512704.1	0.688649335254272	20	0.19686095505618	0.238375850340136
WP_003512705.1	0.799893082824752	11	0.0387991573033708	0.0857919254658385
WP_003512710.1	0.90322423500887	8	0.00533005617977528	0.0358018867924528
WP_003512712.1	0.67940174539551	3	0.215863764044944	0.252995884773663
WP_003512755.1	0.81747138327667	55	0.028061797752809	0.0711387900355872
WP_003512770.1	0.894103829107002	12	0.00640449438202247	0.0376954732510288
WP_003512777.1	0.801336077673633	30	0.0378230337078652	0.084685534591195
WP_003512781.1	0.663989444747529	14	0.249733146067416	0.282462271644162
WP_003512787.1	0.655447638170357	20	0.268679775280899	0.300313971742543
WP_003512791.1	0.833423053870368	12	0.0206741573033708	0.0610788381742739
WP_003512794.1	0.648596693150836	5	0.283384831460674	0.313064391000776
WP_003512797.1	0.822282771208413	25	0.0256109550561798	0.0676623376623377
WP_003512799.1	0.830055992066696	19	0.0220575842696629	0.0629458917835671
WP_003512801.1	1.00863010839442	12	0.000660112359550562	0.0223255813953488
WP_003512804.1	0.795743554514143	10	0.0416292134831461	0.0905038167938931
WP_003512807.1	0.680656100562154	2	0.213251404494382	0.250759702725021
WP_003512826.1	0.904639595391648	14	0.00520365168539326	0.0358018867924528
WP_003512828.1	0.70109594819075	12	0.171537921348315	0.217903657448707
WP_003512846.1	0.583376308371887	6	0.418181179775281	0.432768895348837
WP_003512850.1	0.714834360276795	21	0.145533707865169	0.19625
WP_003512852.1	0.626439139950188	49	0.331671348314607	0.354996243425995
WP_003512860.1	0.689045346205764	9	0.196018258426966	0.237557446808511
WP_003512864.1	0.711982356385237	5	0.150744382022472	0.201180880974695
WP_003512867.1	0.731062595786097	38	0.118167134831461	0.172055214723926
WP_003512910.1	0.79158943164711	31	0.0451193820224719	0.09476401179941
WP_003512912.1	0.684850171484248	5	0.204473314606742	0.245092592592593
WP_003512915.1	0.70656178882479	14	0.160765449438202	0.208307552320291
WP_003512917.1	0.822365961667762	13	0.0255758426966292	0.0676623376623377
WP_003512919.1	0.966233427863803	6	0.00155196629213483	0.0269512195121951
WP_003512921.1	0.792009322656741	24	0.0447752808988764	0.0946290801186944
WP_003512944.1	0.775874290706997	3	0.0592626404494382	0.112220744680851
WP_003512950.1	0.835679836674754	4	0.0198876404494382	0.0601273885350319
WP_003512952.1	0.740064518352588	7	0.10436095505618	0.159570815450644
WP_003512963.1	0.768094758787824	5	0.0676544943820225	0.121795195954488
WP_003512965.1	0.915151759379923	15	0.00433286516853933	0.0350785340314136
WP_003512967.1	1.02198140914428	5	0.000463483146067416	0.0194117647058824
WP_003512977.1	0.673262840939555	14	0.229023876404494	0.264501216545012
WP_003512981.1	0.890135146402752	5	0.00694522471910112	0.0384824902723735
WP_003512988.1	0.774041669268537	62	0.0613342696629213	0.115376486129458
WP_003513001.1	0.494345511984705	1	0.580793539325843	0.58864768683274
WP_003513007.1	0.400434186132521	7	0.756488764044944	0.759154334038055
WP_003513010.1	0.694135798293575	7	0.185266853932584	0.228278546712803
WP_003513015.1	0.826548752696553	6	0.0236797752808989	0.0653179190751445
WP_003513025.1	0.826847143546552	10	0.0235323033707865	0.0653179190751445
WP_003513026.1	0.797851732008958	9	0.0401404494382022	0.0882098765432099
WP_003513072.1	0.894127055928471	7	0.00640449438202247	0.0376954732510288
WP_003513078.1	0.755188286546943	7	0.0828651685393258	0.13849765258216
WP_003513117.1	0.871462215031324	11	0.0101193820224719	0.0443384615384615
WP_003513126.1	0.847955483279628	72	0.015877808988764	0.0554166666666667
WP_003513128.1	0.889479188952196	31	0.00702247191011236	0.0386100386100386
WP_003513130.1	0.767217821747835	125	0.0685393258426966	0.122921914357683
WP_003513132.1	0.666375916662335	10	0.244325842696629	0.277669592976856
WP_003513133.1	0.596670005633443	1	0.392584269662921	0.409253294289898
WP_003513139.1	0.78171722454153	7	0.0540238764044944	0.10551912568306
WP_003513141.1	1.03823115249879	52	0.000301966292134831	0.0153571428571429
WP_003513162.1	0.669659809655728	42	0.237289325842697	0.272280419016922
WP_003513166.1	0.998172342458258	6	0.000800561797752809	0.0236734693877551
WP_003513175.1	0.91010672245383	47	0.00469101123595506	0.0350785340314136
WP_003513182.1	0.873420929214016	7	0.00969803370786517	0.0434267912772586
WP_003513185.1	0.867395530699145	7	0.0109901685393258	0.0467164179104478
WP_003513187.1	0.804291722093181	12	0.0357724719101124	0.0817467948717949
WP_003513190.1	0.728231080570047	29	0.122457865168539	0.175609264853978
WP_003513195.1	0.894416344475047	5	0.00637640449438202	0.0376954732510288
WP_003513200.1	0.695865059351747	44	0.182022471910112	0.226933797909408
WP_003513203.1	0.57493141061033	5	0.434431179775281	0.447958001448226
WP_003513207.1	0.720356713606054	25	0.13561797752809	0.187755102040816
WP_003513209.1	0.760488772007186	28	0.0760393258426966	0.131887941534714
WP_003513219.1	0.845559767995258	3	0.0165308988764045	0.0564508393285372
WP_003513220.1	0.710603727684488	35	0.153321629213483	0.20272051996286
WP_003513222.1	0.8144562993437	9	0.0298314606741573	0.0733678756476684
WP_003513231.1	0.805256937400973	25	0.0352387640449438	0.0817263843648209
WP_003513238.1	0.850522349517583	5	0.0152247191011236	0.0551122194513716
WP_003513251.1	0.836027946698882	21	0.0197542134831461	0.0601273885350319
WP_003513253.1	0.683949965707307	8	0.206439606741573	0.246206030150754
WP_003513261.1	1.00098861772001	3	0.00077247191011236	0.0234042553191489
WP_003513265.1	0.820470955306986	23	0.0265660112359551	0.0689799635701275
WP_003513279.1	0.708348655805464	16	0.157443820224719	0.206783410138249
WP_003513282.1	0.916665963418773	13	0.00421348314606742	0.0350785340314136
WP_003513296.1	0.843683916902174	47	0.0171207865168539	0.0572535211267606
WP_003513301.1	0.772625816736561	3	0.0628932584269663	0.11737876802097
WP_003513303.1	0.923234835089655	18	0.00368679775280899	0.0339102564102564
WP_003513304.1	0.819493338299826	6	0.0270786516853933	0.0697287522603978
WP_003513306.1	0.973174128463167	4	0.00132022471910112	0.0254054054054054
WP_003513308.1	0.850724091039177	3	0.0151544943820225	0.0551122194513716
WP_003513331.1	0.903976904632036	9	0.00527387640449438	0.0358018867924528
WP_003513333.1	0.922525999707521	41	0.00374297752808989	0.0339490445859873
WP_003513339.1	0.829087721877633	22	0.0224508426966292	0.0630571992110454
WP_003513352.1	0.884271384375176	13	0.00777387640449438	0.0395017793594306
WP_003513356.1	0.813715479728587	96	0.0301123595505618	0.0738037865748709
WP_003513361.1	0.7480369645606	20	0.0924297752808989	0.147740492170022
WP_003513362.1	0.996242308981758	20	0.000835674157303371	0.0238
WP_003513364.1	0.721878560286943	36	0.13315308988764	0.185892156862745
WP_003513366.1	1.07425148490887	2	0.000112359550561798	0.008
WP_003513368.1	0.74179423320227	147	0.101636235955056	0.157315217391304
WP_003513369.1	0.753264871219286	17	0.0855196629213483	0.141415313225058
WP_003513371.1	0.920519969702745	40	0.00383426966292135	0.034125
WP_003513372.1	0.804290115918346	78	0.0357724719101124	0.0817467948717949
WP_003513385.1	0.956122587359985	9	0.00193820224719101	0.0296774193548387
WP_003513387.1	0.692602747507021	16	0.188553370786517	0.231067125645439
WP_003513388.1	0.732683965613578	6	0.115554775280899	0.169639175257732
WP_003513389.1	0.811413026720415	8	0.0313623595505618	0.0752348993288591
WP_003513400.1	0.837100903027785	8	0.0193890449438202	0.0601273885350319
WP_003513413.1	0.761441531211738	43	0.0749648876404494	0.130992647058824
WP_003513418.1	NA	0	0	0
WP_003513419.1	0.560512954237732	7	0.461355337078652	0.473321325648415
WP_003513421.1	0.667991503677163	6	0.240849719101124	0.274376
WP_003513422.1	0.767083009336899	10	0.0686446629213483	0.122955974842767
WP_003513423.1	0.894939704191448	2	0.00628511235955056	0.0376050420168067
WP_003513428.1	0.69140795604323	14	0.191186797752809	0.233490566037736
WP_003513430.1	0.759857021939984	83	0.0768188202247191	0.132185990338164
WP_003513436.1	0.787391870964175	9	0.0487219101123596	0.0992560801144492
WP_003513438.1	0.68345100298001	5	0.207612359550562	0.247076023391813
WP_003513449.1	0.816688720563046	16	0.0285533707865169	0.071710758377425
WP_003513451.1	1.0016204507079	7	0.000737359550561798	0.0233333333333333
WP_003513452.1	0.735976688662965	12	0.110533707865169	0.165562565720294
WP_003513490.1	0.837294433195226	22	0.0193398876404494	0.0601273885350319
WP_003513493.1	0.815688883643811	5	0.0290519662921348	0.0724475524475525
WP_003513498.1	0.711285073712597	13	0.151924157303371	0.201255813953488
WP_003513509.1	0.757522164059821	33	0.0797963483146067	0.135435041716329
WP_003513513.1	0.701391039904999	64	0.170948033707865	0.217542448614835
WP_003513515.1	0.669205556045928	13	0.238160112359551	0.272620578778135
WP_003513521.1	0.795039159236014	17	0.0422682584269663	0.0914741641337386
WP_003513523.1	0.690140045760636	6	0.19376404494382	0.235678906917165
WP_003513527.1	NA	0	0	0
WP_003513529.1	0.988660789063312	16	0.000948033707865169	0.0242105263157895
WP_003513533.1	0.708115287055402	12	0.157928370786517	0.206871559633028
WP_003513534.1	0.787413554715797	38	0.0487008426966292	0.0992560801144492
WP_003513535.1	0.829086872895411	2	0.0224508426966292	0.0630571992110454
WP_003513536.1	0.748641790596264	21	0.0916011235955056	0.147072072072072
WP_003513547.1	0.848730875532208	31	0.0157233146067416	0.0551477832512315
WP_003513548.1	0.785020822485972	34	0.050997191011236	0.101851332398317
WP_003513565.1	0.728623702447515	20	0.12184691011236	0.175449041372351
WP_003513572.1	0.690106718523908	8	0.193806179775281	0.235678906917165
WP_003513575.1	0.880414931652553	33	0.00848314606741573	0.0416382252559727
WP_003513578.1	0.911459143259196	55	0.00456460674157303	0.0350785340314136
WP_003513581.1	0.753624361180227	45	0.0850280898876404	0.141071012805588
WP_003513583.1	0.805746414850282	23	0.0349087078651685	0.0811745513866232
WP_003513588.1	0.727057054892939	5	0.12436797752809	0.177454909819639
WP_003513590.1	0.818237106901155	17	0.0277176966292135	0.0707347670250896
WP_003513592.1	0.858720888229367	6	0.0128792134831461	0.0504644808743169
WP_003513594.1	0.874953645886224	17	0.00935393258426966	0.0433876221498371
WP_003513600.1	0.815373687326312	13	0.029248595505618	0.0726876090750436
WP_003513604.1	0.738383684616155	20	0.10688202247191	0.161914893617021
WP_003513610.1	0.782748971929829	16	0.0530898876404494	0.104564315352697
WP_003513615.1	0.74560160739847	10	0.0958918539325843	0.152013348164627
WP_003513619.1	0.99160898759675	6	0.00089185393258427	0.0242105263157895
WP_003513624.1	0.782905509146695	20	0.0528862359550562	0.104307479224377
WP_003513630.1	0.856282833933117	15	0.0136306179775281	0.0518617021276596
WP_003513635.1	0.817429757531066	8	0.0280758426966292	0.0711387900355872
WP_003513639.1	0.3573386744624	5	0.855210674157303	0.856413502109705
WP_003513649.1	0.829483841555593	31	0.0223033707865169	0.0630571992110454
WP_003513674.1	0.524869223819854	10	0.527745786516854	0.537176554681916
WP_003513680.1	0.832392184127109	14	0.021123595505618	0.0616393442622951
WP_003513683.1	0.643515257428363	13	0.294536516853933	0.321641104294478
WP_003513685.1	0.874599392853945	9	0.00940308988764045	0.0434267912772586
WP_003513691.1	0.744062712685049	27	0.0982724719101124	0.153949394939494
WP_003513693.1	0.707266435560711	97	0.159452247191011	0.206982680036463
WP_003513713.1	0.680729102433746	8	0.212991573033708	0.250661157024793
WP_003513756.1	0.725112021517839	31	0.127591292134831	0.180786069651741
WP_003513758.1	0.969743822245593	111	0.0014185393258427	0.025875
WP_003513763.1	0.628160187349451	53	0.328223314606742	0.351950301204819
WP_003513765.1	0.903515260203916	126	0.00531601123595506	0.0358018867924528
WP_003513767.1	0.753563969013231	40	0.0850983146067416	0.141071012805588
WP_003513773.1	0.649089252823133	85	0.282443820224719	0.312509712509712
WP_003513777.1	0.777285493327074	3	0.0578441011235955	0.11
WP_003513780.1	0.780441072312936	5	0.054936797752809	0.106413043478261
