GO.ID	Term	Annotated	Significant	Expected	Rank in elimKS	classicKS	elimKS	weight01KS
GO:0080134	regulation of response to stress	7	2	1.76	39	0.04531	0.04531	0.04531
GO:0055114	oxidation-reduction process	176	53	44.35	40	0.04779	0.04779	0.03167
GO:0090407	organophosphate biosynthetic process	111	31	27.97	429	0.04791	0.86163	0.38017
GO:0009084	glutamine family amino acid biosynthetic...	16	5	4.03	41	0.04932	0.04932	0.17645
GO:0009309	amine biosynthetic process	8	2	2.02	42	0.04967	0.04967	1.00000
GO:0042401	cellular biogenic amine biosynthetic pro...	8	2	2.02	43	0.04967	0.04967	0.08823
GO:0035383	thioester metabolic process	8	5	2.02	44	0.04994	0.04994	0.27023
GO:0098754	detoxification	10	4	2.52	45	0.05374	0.05374	0.26839
GO:0015986	ATP synthesis coupled proton transport	6	2	1.51	46	0.05823	0.05823	0.05823
GO:1901137	carbohydrate derivative biosynthetic pro...	117	28	29.48	440	0.05839	0.87937	0.73492
GO:0044036	cell wall macromolecule metabolic proces...	36	10	9.07	47	0.06118	0.06118	0.24755
GO:0019319	hexose biosynthetic process	5	1	1.26	48	0.06350	0.06350	0.06350
GO:0046364	monosaccharide biosynthetic process	5	1	1.26	49	0.06350	0.06350	1.00000
GO:0009163	nucleoside biosynthetic process	30	10	7.56	50	0.06808	0.06808	0.99974
GO:1901659	glycosyl compound biosynthetic process	30	10	7.56	51	0.06808	0.06808	1.00000
GO:0033865	nucleoside bisphosphate metabolic proces...	14	7	3.53	52	0.07006	0.07006	1.00000
GO:0033875	ribonucleoside bisphosphate metabolic pr...	14	7	3.53	53	0.07006	0.07006	0.62503
GO:0034032	purine nucleoside bisphosphate metabolic...	14	7	3.53	54	0.07006	0.07006	0.62503
GO:0098662	inorganic cation transmembrane transport	14	6	3.53	55	0.07174	0.07174	0.33229
GO:0098869	cellular oxidant detoxification	9	3	2.27	56	0.07214	0.07214	0.07214
GO:1990748	cellular detoxification	9	3	2.27	57	0.07214	0.07214	1.00000
GO:0009423	chorismate biosynthetic process	6	3	1.51	58	0.07592	0.07592	0.07592
GO:0072511	divalent inorganic cation transport	7	4	1.76	59	0.08436	0.08436	0.08436
GO:0032787	monocarboxylic acid metabolic process	60	21	15.12	60	0.08493	0.08493	0.31752
GO:0006096	glycolytic process	14	4	3.53	61	0.08774	0.08774	0.08774
GO:0006757	ATP generation from ADP	14	4	3.53	62	0.08774	0.08774	1.00000
GO:0042866	pyruvate biosynthetic process	14	4	3.53	63	0.08774	0.08774	1.00000
GO:0006586	indolalkylamine metabolic process	7	3	1.76	64	0.08960	0.08960	1.00000
GO:0042430	indole-containing compound metabolic pro...	7	3	1.76	65	0.08960	0.08960	1.00000
GO:0000272	polysaccharide catabolic process	49	18	12.35	67	0.09199	0.09199	0.05770
GO:0046132	pyrimidine ribonucleoside biosynthetic p...	13	4	3.28	68	0.09317	0.09317	0.65343
GO:0046134	pyrimidine nucleoside biosynthetic proce...	13	4	3.28	69	0.09317	0.09317	1.00000
GO:0006541	glutamine metabolic process	13	5	3.28	70	0.09490	0.09490	0.09490
GO:0050896	response to stimulus	214	63	53.93	267	0.09540	0.54275	0.79551
GO:0033866	nucleoside bisphosphate biosynthetic pro...	12	6	3.02	71	0.09800	0.09800	1.00000
GO:0034030	ribonucleoside bisphosphate biosynthetic...	12	6	3.02	72	0.09800	0.09800	1.00000
GO:0034033	purine nucleoside bisphosphate biosynthe...	12	6	3.02	73	0.09800	0.09800	1.00000
GO:0048584	positive regulation of response to stimu...	5	2	1.26	74	0.09894	0.09894	0.09894
GO:0009069	serine family amino acid metabolic proce...	15	6	3.78	75	0.10164	0.10164	1.00000
GO:0006090	pyruvate metabolic process	27	9	6.8	76	0.10760	0.10760	0.73777
GO:0006022	aminoglycan metabolic process	24	4	6.05	77	0.10782	0.10782	0.73050
GO:0042451	purine nucleoside biosynthetic process	13	5	3.28	78	0.10796	0.10796	1.00000
GO:0046129	purine ribonucleoside biosynthetic proce...	13	5	3.28	79	0.10796	0.10796	0.10796
GO:0016052	carbohydrate catabolic process	70	23	17.64	80	0.11113	0.11113	0.54821
