GO.ID	Term	Annotated	Significant	Expected	Rank in elimKS	classicKS	elimKS	weight01KS
GO:0006534	cysteine metabolic process	9	4	2.4	25	0.0352	0.0352	0.3190
GO:0006766	vitamin metabolic process	29	13	7.73	114	0.0404	0.1781	1.0000
GO:0006767	water-soluble vitamin metabolic process	29	13	7.73	115	0.0404	0.1781	1.0000
GO:0009132	nucleoside diphosphate metabolic process	21	9	5.59	26	0.0430	0.0430	0.8919
GO:0040011	locomotion	50	20	13.32	255	0.0433	0.4662	0.5314
GO:1901605	alpha-amino acid metabolic process	92	30	24.51	27	0.0461	0.0461	0.8265
GO:0009185	ribonucleoside diphosphate metabolic pro...	19	9	5.06	28	0.0463	0.0463	0.1685
GO:0044272	sulfur compound biosynthetic process	36	16	9.59	29	0.0510	0.0510	0.4369
GO:0009423	chorismate biosynthetic process	6	3	1.6	30	0.0517	0.0517	0.0517
GO:0035383	thioester metabolic process	8	4	2.13	31	0.0523	0.0523	0.5795
GO:0019344	cysteine biosynthetic process	5	2	1.33	32	0.0531	0.0531	0.0531
GO:0030031	cell projection assembly	11	4	2.93	33	0.0600	0.0600	0.4869
GO:0009064	glutamine family amino acid metabolic pr...	26	10	6.93	34	0.0618	0.0618	1.0000
GO:0009408	response to heat	8	4	2.13	35	0.0633	0.0633	0.0633
GO:0046417	chorismate metabolic process	8	4	2.13	36	0.0647	0.0647	0.6044
GO:0008654	phospholipid biosynthetic process	17	8	4.53	37	0.0721	0.0721	0.0642
GO:0006164	purine nucleotide biosynthetic process	56	18	14.92	38	0.0741	0.0741	0.1597
GO:0042435	indole-containing compound biosynthetic ...	5	3	1.33	39	0.0743	0.0743	1.0000
GO:0046219	indolalkylamine biosynthetic process	5	3	1.33	40	0.0743	0.0743	0.0743
GO:0009069	serine family amino acid metabolic proce...	15	7	4	41	0.0747	0.0747	1.0000
GO:0043934	sporulation	9	3	2.4	42	0.0779	0.0779	0.0779
GO:1901566	organonitrogen compound biosynthetic pro...	331	98	88.18	43	0.0815	0.0815	0.5444
GO:0046040	IMP metabolic process	11	3	2.93	44	0.0819	0.0819	0.3043
GO:0009135	purine nucleoside diphosphate metabolic ...	18	8	4.8	45	0.0867	0.0867	1.0000
GO:0009179	purine ribonucleoside diphosphate metabo...	18	8	4.8	46	0.0867	0.0867	0.3613
GO:0006633	fatty acid biosynthetic process	12	6	3.2	47	0.0884	0.0884	0.0884
GO:0009070	serine family amino acid biosynthetic pr...	10	5	2.66	48	0.0910	0.0910	0.1929
GO:0033866	nucleoside bisphosphate biosynthetic pro...	12	5	3.2	49	0.0913	0.0913	1.0000
GO:0034030	ribonucleoside bisphosphate biosynthetic...	12	5	3.2	50	0.0913	0.0913	1.0000
GO:0034033	purine nucleoside bisphosphate biosynthe...	12	5	3.2	51	0.0913	0.0913	1.0000
GO:0016052	carbohydrate catabolic process	70	24	18.65	53	0.0935	0.0935	0.8668
GO:0006119	oxidative phosphorylation	5	2	1.33	54	0.0937	0.0937	0.0937
GO:0009309	amine biosynthetic process	8	3	2.13	55	0.0963	0.0963	1.0000
GO:0042401	cellular biogenic amine biosynthetic pro...	8	3	2.13	56	0.0963	0.0963	0.3390
GO:0044780	bacterial-type flagellum assembly	9	4	2.4	58	0.1005	0.1005	0.1005
GO:0006520	cellular amino acid metabolic process	130	41	34.63	59	0.1008	0.1008	0.5855
GO:0046031	ADP metabolic process	16	7	4.26	60	0.1014	0.1014	0.8432
GO:0044281	small molecule metabolic process	353	108	94.04	193	0.1016	0.3609	0.2242
GO:0006644	phospholipid metabolic process	18	8	4.8	61	0.1019	0.1019	0.8679
GO:0006096	glycolytic process	14	7	3.73	62	0.1065	0.1065	0.1065
GO:0006757	ATP generation from ADP	14	7	3.73	63	0.1065	0.1065	1.0000
GO:0042866	pyruvate biosynthetic process	14	7	3.73	64	0.1065	0.1065	1.0000
GO:0016226	iron-sulfur cluster assembly	6	2	1.6	65	0.1071	0.1071	0.1071
GO:0031163	metallo-sulfur cluster assembly	6	2	1.6	66	0.1071	0.1071	1.0000
GO:0006631	fatty acid metabolic process	20	9	5.33	69	0.1173	0.1173	0.4568
GO:0006551	leucine metabolic process	5	2	1.33	70	0.1186	0.1186	1.0000
GO:0009098	leucine biosynthetic process	5	2	1.33	71	0.1186	0.1186	0.1186
GO:0033865	nucleoside bisphosphate metabolic proces...	14	5	3.73	72	0.1209	0.1209	1.0000
GO:0033875	ribonucleoside bisphosphate metabolic pr...	14	5	3.73	73	0.1209	0.1209	0.3348
GO:0034032	purine nucleoside bisphosphate metabolic...	14	5	3.73	74	0.1209	0.1209	0.3348
GO:0009251	glucan catabolic process	13	3	3.46	75	0.1216	0.1216	1.0000
GO:0030245	cellulose catabolic process	13	3	3.46	76	0.1216	0.1216	0.1216
GO:0044247	cellular polysaccharide catabolic proces...	13	3	3.46	77	0.1216	0.1216	1.0000
GO:0051275	beta-glucan catabolic process	13	3	3.46	78	0.1216	0.1216	1.0000
GO:0009081	branched-chain amino acid metabolic proc...	12	4	3.2	79	0.1229	0.1229	1.0000
GO:0072522	purine-containing compound biosynthetic ...	58	18	15.45	81	0.1302	0.1302	0.9638
GO:0009314	response to radiation	5	1	1.33	82	0.1305	0.1305	0.1305
GO:0006188	IMP biosynthetic process	10	2	2.66	83	0.1309	0.1309	0.5823
GO:0008652	cellular amino acid biosynthetic process	88	28	23.44	84	0.1315	0.1315	0.7175
GO:0006457	protein folding	9	3	2.4	85	0.1377	0.1377	0.1377
GO:0044255	cellular lipid metabolic process	47	18	12.52	86	0.1383	0.1383	0.3765
GO:0051188	cofactor biosynthetic process	68	25	18.12	87	0.1399	0.1399	0.0211
