GO.ID	Term	Annotated	Significant	Expected	Rank in elimFisher	classicFisher	elimFisher	classicKS	elimKS	weight01KS
GO:0016788	hydrolase activity, acting on ester bond...	62	22	15.99	52	0.0529	0.2798	0.1642	0.6195	0.4157
GO:0004519	endonuclease activity	23	7	5.93	68	0.3794	0.3794	0.6148	0.6148	0.4183
GO:0016832	aldehyde-lyase activity	7	0	1.81	230	1.0000	1.0000	0.4186	0.4186	0.4186
GO:0008168	methyltransferase activity	51	12	13.16	129	0.7004	0.7004	0.1776	0.1776	0.4189
GO:0003743	translation initiation factor activity	6	0	1.55	231	1.0000	1.0000	0.4221	0.4221	0.4221
GO:0016776	phosphotransferase activity, phosphate g...	6	3	1.55	35	0.1817	0.1817	0.4280	0.4280	0.4280
GO:0046873	metal ion transmembrane transporter acti...	10	1	2.58	196	0.9501	0.9501	0.3509	0.3509	0.4293
GO:0140098	catalytic activity, acting on RNA	70	20	18.06	59	0.3359	0.3359	0.5754	0.5754	0.4299
GO:0008238	exopeptidase activity	9	2	2.32	134	0.7196	0.7196	0.8800	0.8800	0.4300
GO:0000155	phosphorelay sensor kinase activity	12	5	3.1	30	0.1733	0.1733	0.4359	0.4359	0.4359
GO:0005525	GTP binding	33	10	8.51	58	0.3358	0.3358	0.4417	0.4417	0.4417
GO:1904680	peptide transmembrane transporter activi...	5	2	1.29	70	0.3840	0.3840	0.4479	0.4479	0.4479
GO:0008757	S-adenosylmethionine-dependent methyltra...	18	5	4.64	97	0.5136	0.5136	0.3653	0.3653	0.4500
GO:0005488	binding	724	186	186.77	111	0.5773	0.6419	0.6275	0.6275	0.4512
GO:0046933	proton-transporting ATP synthase activit...	5	2	1.29	71	0.3840	0.3840	0.4551	0.4551	0.4551
GO:0035639	purine ribonucleoside triphosphate bindi...	255	55	65.78	208	0.9693	0.9693	0.9623	0.9623	0.4638
GO:0030247	polysaccharide binding	22	3	5.68	200	0.9501	0.9501	0.7893	0.7893	0.4653
GO:0016699	oxidoreductase activity, acting on hydro...	5	0	1.29	232	1.0000	1.0000	0.4686	0.4686	0.4686
GO:0008094	DNA-dependent ATPase activity	18	4	4.64	138	0.7229	0.7229	0.4869	0.4869	0.4815
GO:0016880	acid-ammonia (or amide) ligase activity	6	3	1.55	36	0.1817	0.1817	0.1064	0.1064	0.4871
GO:0030234	enzyme regulator activity	7	2	1.81	103	0.5753	0.5753	0.4924	0.4924	0.4924
GO:0004673	protein histidine kinase activity	13	5	3.35	41	0.2254	0.2254	0.5404	0.5404	0.5058
GO:0022804	active transmembrane transporter activit...	30	5	7.74	185	0.9207	0.9207	0.7149	0.7149	0.5091
GO:0008509	anion transmembrane transporter activity	7	0	1.81	233	1.0000	1.0000	0.8045	0.8045	0.5098
GO:0003916	DNA topoisomerase activity	5	2	1.29	72	0.3840	0.3840	0.5114	0.5114	0.5114
GO:0097599	xylanase activity	5	2	1.29	73	0.3840	0.3840	0.5139	0.5139	0.5139
GO:0016638	oxidoreductase activity, acting on the C...	5	1	1.29	144	0.7758	0.7758	0.5199	0.5199	0.5199
GO:0003690	double-stranded DNA binding	13	3	3.35	126	0.6925	0.6925	0.6103	0.6103	0.5314
GO:0016893	endonuclease activity, active with eithe...	6	1	1.55	156	0.8339	0.8339	0.5535	0.5535	0.5535
