GO.ID	Term	Annotated	Significant	Expected	Rank in elimKS	classicKS	elimKS	weight01KS
GO:0006040	amino sugar metabolic process	8	3	2.18	15	0.01487	0.0149	0.2633
GO:0006790	sulfur compound metabolic process	51	21	13.87	16	0.01536	0.0154	0.0118
GO:0055114	oxidation-reduction process	176	63	47.87	17	0.01584	0.0158	0.0015
GO:0006633	fatty acid biosynthetic process	12	6	3.26	19	0.01856	0.0186	0.0186
GO:0009404	toxin metabolic process	6	4	1.63	20	0.01907	0.0191	0.1818
GO:0019748	secondary metabolic process	6	4	1.63	21	0.01907	0.0191	1.0000
GO:1901566	organonitrogen compound biosynthetic pro...	331	102	90.03	39	0.02070	0.0666	0.8258
GO:1901605	alpha-amino acid metabolic process	92	32	25.02	23	0.02929	0.0293	0.5958
GO:0006541	glutamine metabolic process	13	5	3.54	25	0.03490	0.0349	0.0349
GO:0009089	lysine biosynthetic process via diaminop...	7	5	1.9	26	0.03993	0.0399	0.0399
GO:0019216	regulation of lipid metabolic process	7	2	1.9	27	0.04055	0.0405	0.3928
GO:0046349	amino sugar biosynthetic process	6	3	1.63	28	0.04281	0.0428	0.0428
GO:0009891	positive regulation of biosynthetic proc...	8	0	2.18	31	0.05470	0.0547	1.0000
GO:0010557	positive regulation of macromolecule bio...	8	0	2.18	32	0.05470	0.0547	0.3348
GO:0031328	positive regulation of cellular biosynth...	8	0	2.18	33	0.05470	0.0547	0.3348
GO:0006006	glucose metabolic process	7	5	1.9	34	0.05758	0.0576	0.0576
GO:0009067	aspartate family amino acid biosynthetic...	23	11	6.26	35	0.06390	0.0639	0.7625
GO:0006551	leucine metabolic process	5	3	1.36	36	0.06621	0.0662	1.0000
GO:0009092	homoserine metabolic process	5	3	1.36	37	0.06621	0.0662	0.0662
GO:0009098	leucine biosynthetic process	5	3	1.36	38	0.06621	0.0662	0.0662
GO:1901607	alpha-amino acid biosynthetic process	75	26	20.4	40	0.06705	0.0670	0.5480
GO:0042435	indole-containing compound biosynthetic ...	5	3	1.36	41	0.06733	0.0673	1.0000
GO:0046219	indolalkylamine biosynthetic process	5	3	1.36	42	0.06733	0.0673	0.0673
GO:0044272	sulfur compound biosynthetic process	36	14	9.79	43	0.06839	0.0684	0.4123
GO:0044283	small molecule biosynthetic process	219	64	59.57	115	0.06847	0.2078	0.4642
GO:0043648	dicarboxylic acid metabolic process	26	8	7.07	45	0.07065	0.0707	0.3227
GO:0006586	indolalkylamine metabolic process	7	4	1.9	46	0.07166	0.0717	1.0000
GO:0042430	indole-containing compound metabolic pro...	7	4	1.9	47	0.07166	0.0717	1.0000
GO:0009403	toxin biosynthetic process	5	3	1.36	48	0.07618	0.0762	0.0762
GO:0044550	secondary metabolite biosynthetic proces...	5	3	1.36	49	0.07618	0.0762	1.0000
GO:0009605	response to external stimulus	55	21	14.96	300	0.08023	0.5597	0.6002
GO:0009064	glutamine family amino acid metabolic pr...	26	10	7.07	50	0.08125	0.0813	1.0000
GO:0010565	regulation of cellular ketone metabolic ...	6	2	1.63	51	0.08391	0.0839	1.0000
GO:0019217	regulation of fatty acid metabolic proce...	6	2	1.63	52	0.08391	0.0839	0.0839
GO:0046451	diaminopimelate metabolic process	8	5	2.18	53	0.08745	0.0874	0.6438
GO:0072330	monocarboxylic acid biosynthetic process	34	12	9.25	54	0.09448	0.0945	0.9854
GO:0009266	response to temperature stimulus	11	4	2.99	55	0.09498	0.0950	0.1149
GO:0048522	positive regulation of cellular process	12	0	3.26	56	0.10058	0.1006	0.5377
GO:0051262	protein tetramerization	9	4	2.45	57	0.10094	0.1009	1.0000
GO:0051289	protein homotetramerization	9	4	2.45	58	0.10094	0.1009	0.1009
GO:0042594	response to starvation	7	4	1.9	59	0.10113	0.1011	0.1776
GO:0009157	deoxyribonucleoside monophosphate biosyn...	5	3	1.36	60	0.10925	0.1093	1.0000
GO:0009162	deoxyribonucleoside monophosphate metabo...	5	3	1.36	61	0.10925	0.1093	1.0000
GO:0009176	pyrimidine deoxyribonucleoside monophosp...	5	3	1.36	62	0.10925	0.1093	1.0000
GO:0009177	pyrimidine deoxyribonucleoside monophosp...	5	3	1.36	63	0.10925	0.1093	0.1093
GO:0062012	regulation of small molecule metabolic p...	8	3	2.18	64	0.11030	0.1103	0.4687
GO:0005996	monosaccharide metabolic process	15	8	4.08	65	0.11051	0.1105	0.2790
GO:0009219	pyrimidine deoxyribonucleotide metabolic...	8	4	2.18	66	0.11083	0.1108	0.3395
GO:0009250	glucan biosynthetic process	7	2	1.9	67	0.11801	0.1180	0.4318
GO:0031325	positive regulation of cellular metaboli...	10	0	2.72	68	0.11920	0.1192	1.0000
GO:0051173	positive regulation of nitrogen compound...	10	0	2.72	69	0.11920	0.1192	0.3350
GO:0046417	chorismate metabolic process	8	2	2.18	70	0.12697	0.1270	0.2259
GO:0009636	response to toxic substance	18	4	4.9	71	0.12977	0.1298	0.6935
GO:0009069	serine family amino acid metabolic proce...	15	7	4.08	72	0.13112	0.1311	1.0000
GO:0006414	translational elongation	13	7	3.54	73	0.13347	0.1335	0.1335
GO:0072511	divalent inorganic cation transport	7	2	1.9	74	0.13730	0.1373	0.1373
GO:0046365	monosaccharide catabolic process	7	4	1.9	75	0.13747	0.1375	0.1413
GO:0032787	monocarboxylic acid metabolic process	60	22	16.32	76	0.13864	0.1386	0.6720
GO:0051260	protein homooligomerization	16	6	4.35	77	0.14198	0.1420	0.2419
GO:1902680	positive regulation of RNA biosynthetic ...	5	0	1.36	78	0.14725	0.1473	1.0000
GO:1903508	positive regulation of nucleic acid-temp...	5	0	1.36	79	0.14725	0.1473	0.1473
GO:0005976	polysaccharide metabolic process	69	22	18.77	80	0.14865	0.1487	0.7539
GO:0009309	amine biosynthetic process	8	3	2.18	81	0.14973	0.1497	1.0000
GO:0042401	cellular biogenic amine biosynthetic pro...	8	3	2.18	82	0.14973	0.1497	0.9337
GO:0097237	cellular response to toxic substance	11	3	2.99	83	0.15070	0.1507	0.4670
GO:0010383	cell wall polysaccharide metabolic proce...	12	5	3.26	84	0.16014	0.1601	1.0000
GO:0010410	hemicellulose metabolic process	12	5	3.26	85	0.16014	0.1601	1.0000
GO:0045491	xylan metabolic process	12	5	3.26	86	0.16014	0.1601	0.5520
GO:0006112	energy reserve metabolic process	6	3	1.63	87	0.16037	0.1604	0.2078
GO:0009086	methionine biosynthetic process	11	5	2.99	88	0.16238	0.1624	0.1624
GO:0000271	polysaccharide biosynthetic process	18	5	4.9	89	0.16279	0.1628	0.0229
GO:0009394	2'-deoxyribonucleotide metabolic process	9	4	2.45	90	0.16728	0.1673	0.8023
